Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
"Initial, Bare GNRs","Initial, Bare GNRs",Post-SiO2 Overcoat,Post-SiO2 Overcoat,Post Purification,Post Purification
404.6132248,0.356163568,429.175909,0.328381423,402.9757125,0.34651699
413.3466236,0.346902853,435.1801207,0.323751066,411.7091113,0.339957317
423.1716973,0.338799728,464.6553419,0.305229636,417.9862418,0.33416937
429.175909,0.333011781,509.6323459,0.37005464,424.9911554,0.326837971
437.3634704,0.328381423,516.5098975,0.374299134,435.1801207,0.317577256
444.459357,0.323751066,523.0599467,0.37005464,440.638495,0.314490351
451.0094061,0.321435887,530.1558332,0.359636336,449.8085638,0.308007851
454.8302681,0.319120708,536.4329636,0.344587674,455.3761056,0.305229636
466.2928541,0.314490351,542.4371753,0.326066245,463.0178296,0.300599279
472.5154008,0.314490351,548.9326407,0.305229636,471.205391,0.295968921
479.3929524,0.314490351,555.2643549,0.283235438,479.9387898,0.300599279
487.1438439,0.322824994,562.9060789,0.258926062,488.6721887,0.309859994
496.9689176,0.346902853,569.456128,0.241562222,495.8772427,0.328381423
503.9556367,0.365424283,575.7332585,0.224198381,502.2089569,0.346902853
509.414011,0.379315355,582.5562263,0.206139987,509.195676,0.361719997
530.7016706,0.35153321,591.2896252,0.182525164,515.4182227,0.365424283
572.7311526,0.217252845,598.2035659,1.65E-01,523.6057841,0.358478747
662.2484908,0.10149391,605.754317,0.146639894,530.7016706,0.344587674
673.1652394,0.110754624,613.396041,0.130433643,537.2517198,0.328381423
679.7152885,0.122330518,620.2190088,0.120015339,543.2559315,0.309859994
687.3570125,0.138536769,626.2232206,0.110754624,551.4434929,0.282849575
694.4528991,0.159373377,658.4276288,0.087602837,558.1027095,0.263556419
701.5487856,0.186383796,664.4318405,0.087602837,565.635266,0.242719811
707.5529973,0.217252845,671.5277271,0.089918016,572.1853152,0.224970108
711.3738593,0.240404632,676.4402639,0.092233195,579.7178717,0.202435701
717.9239085,0.291338564,684.0819879,0.099178731,586.0495858,0.183914272
722.2906079,0.328381423,691.3598203,0.109211172,593.4729749,0.164466771
725.5656325,0.363109104,698.0008423,0.120015339,600.5688614,0.146254031
729.9323319,0.411727857,706.352155,0.13946284,606.8459919,0.133906412
732.1156816,0.44182518,713.557209,0.160145104,613.396041,0.121172929
734.2990313,0.467292146,720.1072582,0.184840343,620.5465113,0.110754624
736.482381,0.499704648,729.2045486,0.231143917,626.8782255,0.103346053
739.7574056,0.55063858,733.9351397,0.262012967,633.8649445,0.098021141
741.9407553,0.583051082,738.6657307,0.295968921,643.1441808,0.092233195
747.3991296,0.67565823,741.9407553,0.323751066,649.69423,0.092233195
749.5824793,0.715016268,748.4908044,0.386260891,655.6984417,0.092233195
752.3116664,0.7659502,752.3116664,0.427934108,666.0693528,0.099178731
755.0408536,0.814568953,755.0408536,0.458031431,672.0735645,0.103809088
757.2242033,0.858557348,757.2242033,0.485813576,678.8965324,0.114227392
761.0450653,0.933800656,759.407553,0.51359572,685.7195002,0.125803286
763.228415,0.974316284,762.1367401,0.548323401,691.9966306,0.142009537
764.8659273,1.006728786,764.8659273,0.58536626,698.8195985,0.161688556
767.049277,1.050717181,767.049277,0.617778762,704.8238102,0.185997933
769.7784641,1.099335934,769.7784641,0.654821622,709.1905096,0.20799213
771.9618138,1.141009151,772.5076513,0.696494838,715.7405588,0.247350168
774.3271094,1.181910642,774.691001,0.726592162,720.6530956,0.283235438
775.7826758,1.208149334,777.4201881,0.767107789,723.9281202,0.308702404
778.511863,1.252137729,780.6952127,0.818041721,726.6573073,0.333011781
780.6952127,1.293810946,782.332725,0.844666276,729.9323319,0.365424283
783.1514811,1.33259019,785.0619121,0.881709135,733.2073565,0.402467142
786.6994244,1.379472558,787.2452618,0.912964048,737.0282184,0.446455538
790.5202864,1.413621444,789.974449,0.953479675,739.2115682,0.473080093
793.6133652,1.44892792,792.7036361,0.990522535,741.9407553,0.508965363
795.9786607,1.474394886,794.8869858,1.020619858,744.124105,0.541377865
800.3453601,1.507964977,797.616173,1.057662718,746.8532922,0.577263135
806.1936183,1.529628435,800.3453601,1.090075219,750.1283167,0.627039477
812.3537835,1.528222791,802.5287098,1.116699775,752.3116664,0.661767158
817.8901346,1.516729582,805.257897,1.144096056,755.586691,0.709228321
821.6330198,1.490022342,807.9870841,1.173421653,757.2242033,0.738168055
824.1802611,1.470536254,810.7162712,1.201975524,759.9533904,0.78331404
828.1830689,1.439204169,813.4454584,1.226670763,762.1367401,0.813411363
832.0039309,1.409569882,817.2663204,1.259623474,765.4117647,0.867818063
834.7331181,1.378700832,822.1788572,1.287444205,767.5951144,0.901388154
841.2831672,1.29921303,829.8205812,1.324197667,769.7784641,0.936115835
844.0123543,1.263713623,836.6738734,1.336770373,771.9618138,0.970843516
846.1957041,1.230143532,842.6174365,1.344230394,774.1451636,1.004413607
848.3790538,1.19773103,849.41008,1.337439203,777.4201881,1.051874771
850.5624035,1.167633706,853.9598484,1.316354165,779.6035378,1.081972094
852.7457532,1.137536383,858.5073705,1.295097157,782.8785624,1.119014953
854.9291029,1.10628147,862.7213253,1.2712975,785.0619121,1.150269866
857.1124526,1.073868969,865.8458515,1.247507372,787.7910993,1.18422582
858.7499649,1.05303236,869.2300435,1.223573378,791.0661238,1.212779691
862.0249895,1.007886375,873.7604942,1.181524779,794.3411484,1.240561836
864.7541766,0.96274039,877.3084375,1.156443676,798.1620104,1.271237954
866.3916889,0.941903782,880.2195704,1.128661531,801.9828724,1.296126125
868.5750386,0.911806459,882.7668117,1.105509744,807.9870841,1.320435501
881.1292995,0.740483234,885.4959989,1.07155379,814.5371332,1.329696216
886.0418363,0.682603766,888.7710234,1.040298877,821.0871824,1.318892049
889.8626983,0.636300192,891.5002106,1.008272238,826.9094483,1.29303922
892.046048,0.611990816,894.7752352,0.974316284,831.4580935,1.270659159
894.2293977,0.587681439,897.5044223,0.943061371,835.2789555,1.241719425
898.0502597,0.548323401,900.2336094,0.912578185,839.0998175,1.216638322
900.7794469,0.521698846,903.508634,0.87862223,842.9206795,1.179788395
904.0544714,0.490443933,906.7836586,0.845438002,846.1957041,1.147954687
907.8753334,0.46034661,910.0586831,0.807623417,848.9248912,1.114770459
911.150358,0.432564465,913.3337077,0.774439188,851.6540783,1.091232809
915.5170574,0.40092369,916.0628948,0.74742877,854.3832655,1.05920617
919.3379194,0.371791024,918.2462446,0.726592162,857.1124526,1.031038162
923.7046188,0.343430085,920.9754317,0.697266565,859.8416398,0.99978325
928.6171557,0.314490351,924.2504563,0.665625789,862.5708269,0.969685926
934.6213674,0.281691986,927.5254808,0.632441561,864.7541766,0.943061371
940.6255791,0.251980526,931.3463428,0.597520949,866.9375263,0.915279227
946.6297908,0.225741834,935.1672048,0.565301378,868.5750386,0.897915386
953.17984,0.201432457,938.4422294,0.539062686,871.8500632,0.861644253
959.7298891,0.179824123,942.2630914,0.511280542,875.1250877,0.822286215
966.2799382,0.158215788,946.6297908,0.477131656,877.8542749,0.792574755
491.5294118,0.328343313,950.9964902,0.446455538,880.0376246,0.767107789
460.4705882,0.316367265,955.9090271,0.414969107,882.7668117,0.73508115
515.0588235,0.376247505,961.9132388,0.379701218,886.0418363,0.697266565
520.7058824,0.372255489,967.9174505,0.350607139,888.7710234,0.671027873
524.4705882,0.364271457,498.1176471,0.340319361,892.5918854,0.630126382
534.8235294,0.344311377,501.8823529,0.352295409,896.9585849,0.586909713
538.5882353,0.324351297,490.5882353,0.320359281,900.2336094,0.555268937
544.2352941,0.308383234,479.2941176,0.304391218,903.508634,0.528258519
549.8823529,0.29241517,471.7647059,0.304391218,906.7836586,0.498932922
555.5294118,0.268463074,452.9411765,0.31237525,910.6045206,0.46902853
562.1176471,0.25249501,412.4705882,0.344311377,916.0628948,0.426197724
568.7058824,0.23253493,420,0.340319361,920.4295943,0.396679195
579.0588235,0.204590818,484.9411765,0.308383234,924.7962937,0.367739461
583.7647059,0.19261477,644,0.092814371,929.7088305,0.337642138
588.4705882,0.176646707,650.5882353,0.088822355,934.6213674,0.310438788
593.1764706,0.164670659,634.5882353,0.100798403,940.0797417,0.283235438
652.4705882,0.092814371,825.6470588,1.30239521,946.6297908,0.255067431
638.3529412,0.096806387,872.2352941,1.20259481,953.17984,0.228442876
621.4117647,0.108782435,,,959.7298891,0.206448678
606.3529412,0.132734531,,,966.2799382,0.185612069
599.7647059,0.148702595,,,970.1008002,0.182525164
613.8823529,0.120758483,,,,
628.9411765,0.100798403,,,,
644.9411765,0.092814371,,,,
744.7058824,0.627744511,,,,
873.6470588,0.839321357,,,,
878.3529412,0.78742515,,,,
884,0.711576846,,,,
969.6470588,0.144710579,,,,
