Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Initial Bare GNRs,Initial Bare GNRs,Post-SiO2 Overcoat,Post-SiO2 Overcoat,Post Purification,Post Purification
400.0896626,0.3717488,406.9126304,0.361997166,402.8188497,0.35704829
465.0443165,0.319607095,413.1897609,0.354840037,409.3688989,0.348809906
472.6860405,0.319571519,420.2856474,0.348327089,415.918948,0.342731493
478.6902522,0.321271544,425.7440217,0.343117747,422.4689971,0.337085074
485.7861388,0.329878394,435.023258,0.333570674,429.3465487,0.331177934
493.5370303,0.349541247,439.3899574,0.330094391,435.8965979,0.32596351
498.8862371,0.366104923,448.1233563,0.324869802,445.3941691,0.319698577
506.8554635,0.388877118,517.9905471,0.381567775,452.2717207,0.315519413
513.0780102,0.398006427,525.0864336,0.375486821,462.8609668,0.309249398
519.9555618,0.39711042,531.6364828,0.366384448,469.3018485,0.309219413
526.287276,0.391897012,539.2782067,0.350365085,477.1619074,0.30918282
534.3656699,0.383219518,545.0094997,0.336730585,483.6027891,0.314336766
542.0073939,0.373680069,552.378305,0.315744559,490.1528382,0.327266099
546.9199307,0.363289337,559.2012729,0.295841059,497.2487248,0.347968788
553.6519257,0.346842215,564.9325659,0.278707405,504.2354439,0.370227164
561.2208714,0.325380063,572.0284524,0.256901861,510.785493,0.383674891
567.7709205,0.302540274,577.7597454,2.39E-01,516.8988722,0.389996745
575.4854228,0.277621491,585.2377182,0.216405704,523.9947588,0.385859765
582.0354719,0.255127296,591.9515186,0.197193904,530.6539754,0.377880069
588.4035753,0.233497938,597.9011465,0.182132806,537.094857,0.366359037
616.0229491,0.157165572,604.2328607,0.165169155,543.6449062,0.351208745
622.7913332,0.146507003,612.0929196,0.148889579,550.1949553,0.33476247
629.705274,0.13567496,618.4246338,0.137455454,556.7450044,0.317020212
638.0747812,0.126996111,624.6107913,0.128786769,563.2950536,0.29884596
644.6248304,0.121781686,632.179737,0.118729266,569.8451027,0.27980772
656.0874164,0.116544391,638.8935374,0.114032472,576.3951519,0.259041503
676.5017362,0.127854,642.4414806,0.111423989,582.945201,0.240867251
686.6543123,0.142321742,651.7207169,0.106196859,588.9494127,0.221831552
694.0231176,0.156543246,658.2707661,0.106166365,595.4994618,0.204953283
700.5731667,0.170768562,664.8208152,0.106135871,602.9228509,0.188848538
706.8502972,0.190611074,673.0083766,0.109553708,609.0362301,0.177933822
714.9286911,0.222022646,680.1042632,0.116432581,616.7871215,0.16424672
724.5900136,0.275631352,688.0734896,0.125726556,623.2280032,0.156095243
733.0504937,0.339095118,697.2981422,0.140976207,629.8872198,0.149929923
737.4171931,0.380546236,704.2302775,0.157791709,636.5464364,0.144628591
740.6922177,0.415522522,710.4892133,0.175042341,642.9873181,0.142525033
744.5130797,0.46086413,717.5487107,0.199201153,649.5373672,0.142494539
747.2422668,0.49713894,723.7712574,0.227251809,656.4149188,0.142462521
749.4256165,0.525640395,729.7754691,0.259277829,662.6374655,0.142433552
751.6089663,0.556733816,735.9616267,0.301066072,671.3708643,0.148872807
754.8839908,0.608557878,740.6922177,0.339059542,678.030081,0.155840112
757.0673405,0.647427195,743.9672423,0.37014788,683.9251252,0.165143743
759.2506903,0.681112581,748.3339417,0.415054952,691.0210117,0.178588929
762.5257148,0.738120574,752.7006411,0.466009943,697.5710609,0.195838205
764.7090645,0.782173822,754.8839908,0.494511399,704.12111,0.216975429
766.8924142,0.82622707,757.0673405,0.523012854,710.6711592,0.242864589
770.1674388,0.883235063,759.2506903,0.551514309,716.6753709,0.272298644
772.3507885,0.929880276,763.0715522,0.609815744,721.5879077,0.302212974
774.5341382,0.973933524,764.7090645,0.637023757,725.9546071,0.333296231
777.2633254,1.032240041,767.4382517,0.682370447,729.7754691,0.365894008
779.9925125,1.085362627,769.6216014,0.71475985,733.0504937,0.396982346
782.7216997,1.134597264,772.3507885,0.761402522,736.3255183,0.428934673
793.0926108,1.336722287,775.0799757,0.813229126,739.6005428,0.465206942
795.8217979,1.385956924,777.8091628,0.859871798,742.8755674,0.504071177
798.0051476,1.415754362,779.9925125,0.906517011,745.6047546,0.541209976
800.1884974,1.452031714,782.1758622,0.947978294,747.7881043,0.569711431
802.9176845,1.491330484,784.9050494,0.992029,749.971454,0.602100835
805.6468716,1.520693387,787.0883991,1.037378231,752.1548037,0.634490238
809.6496794,1.553938308,789.2717488,1.076247548,754.3381534,0.666879642
812.014975,1.585462876,792.5467734,1.131959558,756.5215031,0.703156993
816.0177828,1.618621399,794.7301231,1.170828875,758.7048528,0.738138362
820.3844822,1.638559204,798.0051476,1.227836868,760.8882025,0.775711696
826.3280453,1.654803316,800.1884974,1.265410202,763.0715522,0.811989048
832.5488592,1.650906978,802.3718471,1.297799606,765.254902,0.8482664
837.3054425,1.629408549,804.5551968,1.328893027,767.4382517,0.889727682
841.9753849,1.609515073,806.7385465,1.359986447,769.6216014,0.927301016
847.9882607,1.577519506,809.4677336,1.394533281,771.8049511,0.964874351
850.4055407,1.543812702,812.1969208,1.429944103,773.9883008,1.007631616
853.1347279,1.516843556,815.4719453,1.457144493,776.1716505,1.046500933
856.9555899,1.485462986,818.2011325,1.484347424,778.3550002,1.08537025
860.7764519,1.442677768,825.5699378,1.53744841,780.5383499,1.126831532
869.5098507,1.349326354,831.8470682,1.546923061,782.7216997,1.161812901
878.2432496,1.204135631,838.0938743,1.540990057,784.9050494,1.195498287
880.9724367,1.170427375,845.2200852,1.526665072,787.8525715,1.233793815
886.9766484,1.100416355,849.8597033,1.508391716,790.3634237,1.270639874
890.251673,1.05374573,853.1347279,1.484184791,793.0926108,1.30648269
894.072535,1.001888634,856.9555899,1.453063418,797.0226403,1.36003168
896.2558847,0.97855078,861.3222893,1.414163607,802.0443446,1.410810824
899.5309093,0.937064086,865.1431513,1.376994315,806.1927091,1.437747952
902.2600964,0.905947795,868.4181759,1.338099586,808.9218962,1.4636549
905.535121,0.868349049,871.3293088,1.30611846,814.9261079,1.491735906
909.355983,0.824267849,873.8765501,1.274139027,821.2032383,1.498589258
912.0851701,0.792719564,877.1515747,1.23438031,827.4803688,1.492857711
915.3601947,0.75944076,880.4265993,1.20239749,832.7567972,1.470023851
949.2021152,0.498790683,883.1557864,1.163937297,837.0715121,1.434271669
956.8438392,0.453136515,885.8849736,1.128069069,842.0620258,1.396479796
962.3022135,0.428228235,888.6141607,1.100408732,846.2207871,1.355482696
969.1251813,0.404091193,890.7975104,1.069294982,850.0780383,1.320386806
409.0196078,0.358429182,892.9808601,1.038181232,853.1347279,1.288923395
427.0588235,0.343447621,895.7100473,1.002744999,855.863915,1.259967075
444.3137255,0.328469712,898.9850718,0.964714259,858.5931022,1.220642893
456.0784314,0.320966152,902.2600964,0.92581953,861.595208,1.189309335
594.1176471,0.212316062,904.9892835,0.894271245,864.5973139,1.152359851
602.745098,0.189929529,907.7184707,0.859267006,868.4181759,1.103958708
609.0196078,0.175002739,910.9934953,0.827284185,871.6932004,1.071975887
666.2745098,0.118870267,913.7226824,0.794439917,874.4223876,1.036323657
720.3921569,0.24897214,916.997707,0.762025102,878.2432496,0.99418643
729.0196078,0.304797897,919.7268941,0.729612829,880.9724367,0.959182191
788.627451,1.250516668,923.0019187,0.69676602,883.7016238,0.924177952
785.4901961,1.190940957,926.8227807,0.661540701,886.9766484,0.885283224
863.9215686,1.399141929,930.6436427,0.6250194,890.251673,0.847252484
874.1176471,1.276189433,933.9186672,0.599084498,893.5266976,0.811813709
923.5294118,0.687505021,937.7395292,0.56688314,896.8017221,0.7789669
933.7254902,0.601796473,942.1062286,0.529927303,900.0767467,0.746120091
942.3529412,0.534717202,947.0187655,0.496727275,903.3517713,0.718457213
928.2352941,0.64651477,951.9313024,0.470914349,906.6267958,0.691658323
920.3921569,0.717314784,956.2980018,0.43784646,909.9018204,0.665723422
790.9803922,1.287749662,961.6472086,0.41060592,914.2685198,0.631143553
,,966.1230755,0.397625255,919.1810567,0.599369106
,,456.0784314,0.320966152,923.5477561,0.568245192
,,468.627451,0.31345894,928.4602929,0.537248335
,,479.6078431,0.313407821,933.9186672,0.507156124
,,490.5882353,0.324529886,939.9228789,0.474210211
,,497.6470588,0.346843393,946.4729281,0.44394012
,,505.4901961,0.369153248,953.0229772,0.417557978
,,511.7647059,0.380297221,959.5730263,0.395927772
,,,,966.1230755,0.376755311
,,,,799.6078431,1.384543762
,,,,794.9019608,1.332424143
