Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Initial Bare GNRs,Initial Bare GNRs,Post-SiO2 Overcoat,Post-SiO2 Overcoat,Post Purification,Post Purification
511.1467667,0.385566733,405.7101494,0.359096936,403.9088404,0.368443616
517.9917407,0.387136975,433.33022,0.336664905,411.1140762,0.364704944
525.1969765,0.375173225,511.3869412,0.402465529,418.319312,0.356105999
532.4022123,0.356105999,517.9917407,0.403960998,425.5245478,0.346759319
539.6074481,0.335169437,525.1969765,0.401156994,432.1293473,0.341151312
546.8126839,0.309746468,532.4022123,0.391997248,439.9350194,0.335917171
554.0179197,0.283575765,539.6074481,0.372182288,447.1402553,0.331430765
561.2231555,0.261891469,546.8126839,0.346385452,454.3454911,0.325822757
568.4283913,0.239833305,554.0179197,0.322457952,461.5507269,0.322457952
575.5135398,0.219121063,561.2231555,0.297408851,468.7559627,0.317223812
582.8388629,0.197960181,568.5484786,0.278790265,475.9611985,0.317223812
590.0440987,0.176649751,575.6336271,0.260022133,483.1664343,0.324327288
597.3694218,0.15855458,582.8388629,0.236842368,490.3716701,0.335169437
604.4545703,0.143749439,590.0440987,0.21665354,497.5769059,0.353488929
611.6598061,0.128420885,597.2493345,0.197212446,504.7821417,0.379285764
618.8650419,0.117952604,604.4545703,0.177397486,511.9873775,0.39573592
626.0702777,0.107110455,611.6598061,1.61E-01,519.1926133,0.396483655
633.2755135,0.10112858,618.8650419,0.150105181,526.3978491,0.386389241
638.3378588,0.100490514,626.0702777,0.137767564,533.6030849,0.370312952
676.5069284,0.133281158,633.2755135,0.12767315,540.8083207,0.346759319
683.7121642,0.153843853,640.4807493,0.121317408,548.0135565,0.325075023
690.3169637,0.174257001,647.6859851,0.116831002,555.2187923,0.303016859
695.7208905,0.198707915,654.891221,0.114213932,562.4240281,0.282828031
700.5243811,0.223383149,662.0964568,0.116083268,569.6292639,0.263760805
704.7274353,0.252918656,668.7012562,0.121317408,576.8344997,0.237963969
708.3300532,0.278341625,687.3147821,0.13701983,584.0397355,0.215531938
711.9326711,0.307503265,693.9195816,0.15182497,591.2449713,0.193099907
715.535289,0.340403577,701.7252537,0.168424673,598.4502072,0.171415611
718.5374706,0.373677756,708.3300532,0.190856704,606.0157047,0.154516814
721.5396521,0.40769967,714.3344163,0.215980579,612.8606788,0.138141431
724.5418337,0.444338654,719.7383432,0.24581518,620.0659146,0.124682213
726.943579,0.473500294,724.5418337,0.275537621,627.2711504,0.114961666
729.3453243,0.509391544,728.744888,0.303764593,634.4763862,0.107484323
731.7470695,0.541917988,732.3475059,0.333673968,641.681622,0.101876315
734.1488148,0.577809238,735.3496874,0.359096936,648.8868578,0.10112858
736.5505601,0.619308495,738.351869,0.39050178,656.0920936,0.101876315
738.9523053,0.659686151,741.3540506,0.418541818,663.2973294,0.107484323
741.3540506,0.70230701,743.7557959,0.446581857,670.5025652,0.113840065
743.7557959,0.741563064,746.1575411,0.471257091,677.707801,0.125429947
746.1575411,0.785305524,748.5592864,0.501540333,684.9130368,0.140758502
748.5592864,0.831291188,750.9610317,0.530701973,692.1182726,0.159825728
750.9610317,0.872790445,753.362777,0.562106816,698.7230721,0.183678454
752.7623406,0.904195288,755.7645222,0.594633261,704.7274353,0.211942813
754.5636496,0.940086538,758.1662675,0.628281308,709.5309258,0.240207172
756.9653949,0.9849506,760.5680128,0.661929354,713.1335437,0.267125609
759.3671401,1.026449857,762.969758,0.698942205,716.7361616,0.294044047
761.7688854,1.071313919,765.3715033,0.73146865,720.3387795,0.323953421
764.1706307,1.115056379,767.7732486,0.765116696,723.3409611,0.351245725
766.5723759,1.150947629,770.1749938,0.803251149,725.7427064,0.379285764
768.9741212,1.195811691,772.5767391,0.834655992,728.1444516,0.4050826
771.3758665,1.238432549,774.9784844,0.86942564,730.5461969,0.43424424
773.7776117,1.270958994,777.3802296,0.90531689,732.9479422,0.462284279
775.5789207,1.304980908,779.7819749,0.941208139,735.3496874,0.494810724
778.5811023,1.336011884,782.1837202,0.972612983,737.7514327,0.527337168
780.9828475,1.373024735,785.1859018,1.011121302,740.153178,0.560985215
783.3845928,1.397699969,786.9872107,1.04327388,742.5549232,0.597998066
787.107298,1.427758891,789.388956,1.07243552,744.9566685,0.636132518
791.3618182,1.461791486,791.7907012,1.099353958,746.7579775,0.661929354
796.5941918,1.498270241,794.1924465,1.130758801,748.5592864,0.694455799
804.2797766,1.506270999,796.5941918,1.162163644,750.9610317,0.73146865
810.5757803,1.496721363,799.5963734,1.194316222,753.362777,0.772967907
816.6754508,1.460509656,803.1989913,1.230207471,755.5643768,0.805494352
821.2120808,1.433591219,806.8016092,1.261612315,758.1662675,0.852601617
824.8146987,1.403681844,810.4042271,1.292269424,760.5680128,0.891857671
829.6181892,1.351340438,815.2077176,1.324571548,762.7696126,0.930365991
832.0199345,1.319187861,818.8103355,1.348349501,765.3715033,0.974856186
835.0221161,1.295634228,827.0448907,1.383599835,767.7732486,1.009625834
838.0242977,1.26086458,833.5210253,1.39097036,770.1749938,1.051125091
847.6312787,1.106083567,840.5975962,1.388086242,772.5767391,1.089259544
851.2338966,1.067949114,847.6312787,1.370781532,775.1786298,1.12552466
854.2360782,1.021963451,851.5808154,1.353880243,777.980666,1.162911379
856.6378235,0.991680209,855.3168636,1.333544361,779.7819749,1.193568487
859.0395688,0.959153764,859.2397142,1.303485439,782.1837202,1.222730128
861.441314,0.926627319,863.242623,1.278810205,784.5854654,1.253013369
863.8430593,0.894100874,868.0461135,1.246657627,787.8278216,1.284642533
866.2448046,0.861574429,871.0482951,1.214131183,790.5898286,1.312458251
868.6465498,0.827926383,874.650913,1.180109269,793.5920102,1.340124423
871.0482951,0.797643141,878.8539672,1.145713488,797.1946281,1.361060985
873.4500404,0.766238298,881.2557125,1.116551848,802.5985549,1.387979422
875.8517856,0.733711853,884.2578941,1.089259544,810.1040089,1.399943172
878.2535309,0.707915017,886.6596393,1.065705911,817.0090266,1.386110086
880.6552762,0.678753377,889.6618209,1.026823724,822.1127353,1.365173524
883.0570214,0.649591737,892.6640025,0.995045014,825.7153532,1.337694286
885.4587667,0.620430097,895.6661841,0.960275366,829.6181892,1.316196923
888.4609483,0.587155918,898.6683657,0.926627319,832.4202254,1.290026221
892.0635662,0.552012402,901.0701109,0.900830484,835.0221161,1.26759419
895.6661841,0.51911209,904.0722925,0.86680857,838.624734,1.226842667
899.268802,0.483968575,907.6749104,0.830917321,841.6269156,1.195811691
902.8714199,0.454806935,910.677092,0.799886344,844.6290971,1.167771652
906.4740378,0.427140763,913.6792736,0.766612165,846.4304061,1.13748841
910.677092,0.397231389,916.6814552,0.737076658,849.4325877,1.109448371
915.4805826,0.362461741,919.6836368,0.706793416,851.2338966,1.081408333
920.2840731,0.3327393,923.2862547,0.672397635,854.0359328,1.041778411
925.0875636,0.304699261,926.2884363,0.645105331,856.6378235,1.016355443
929.8910542,0.278902426,929.2906178,0.616317558,858.8394233,0.983455131
934.6945447,0.254787992,932.8932358,0.585660449,861.441314,0.955788959
941.2993442,0.224504751,936.4958537,0.553507871,863.8430593,0.924384116
962.3146153,0.176836685,940.0984716,0.527337168,865.6443682,0.89129687
967.7185421,0.161695064,943.7010895,0.504157403,868.0461135,0.863069898
408.0558539,0.365168539,947.9041437,0.474621896,871.0482951,0.829720946
425.2416756,0.345906902,953.3080705,0.442992732,873.4500404,0.803251149
451.8796992,0.326645265,956.9106884,0.41966342,875.8517856,0.771846306
481.9548872,0.320224719,963.5154879,0.391623381,878.2535309,0.740441462
498.2814178,0.352327448,967.9587167,0.367621108,881.2557125,0.704550213
467.3469388,0.317014446,502.5778733,0.371589085,884.2578941,0.675388573
655.5316864,0.105136437,481.9548872,0.320224719,886.6596393,0.645105331
842.8571429,1.190208668,457.8947368,0.323434992,889.0613846,0.620430097
846.2943072,1.145264848,416.6487648,0.355537721,892.0635662,0.585660449
951.1278195,0.19823435,445.8646617,0.329855538,895.0657478,0.55762041
439.8496241,0.333065811,469.0655209,0.317014446,898.0679294,0.527337168
503.4371643,0.369983949,492.2663802,0.336276083,901.6705473,0.494436856
646.0794844,0.101926164,677.8732546,0.127608347,905.2731652,0.462284279
665.8431794,0.111556982,,,908.8757831,0.430505568
402.9001074,0.365168539,,,912.478401,0.402714774
415.7894737,0.355537721,,,916.0810189,0.377042561
839.4199785,1.225521669,,,920.2840731,0.34732012
,,,,925.0875636,0.319840882
,,,,929.8910542,0.292361644
,,,,935.294981,0.264882406
,,,,940.6989079,0.239085571
,,,,946.703271,0.212914868
,,,,953.9085068,0.188613501
,,,,960.6848596,0.166501928
,,,,967.1181058,0.151039849
