Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Initial Bare GNRs,Initial Bare GNRs,Post-SiO2 Overcoat,Post-SiO2 Overcoat,Post Purification,Post Purification
411.3738062,0.356481481,417.3846257,0.354988053,403.5597409,0.372535842
506.3447539,0.381869773,435.4170841,0.337066906,410.7727242,0.369922342
574.0800107,0.22366587,449.1217525,0.326314217,417.9857076,0.361335125
584.0045415,0.19369773,460.6625259,0.316905615,425.198691,0.351627838
591.0973085,0.173909797,465.4711815,0.314665472,432.4116743,0.34453405
598.6108328,0.155615293,556.3547719,0.279719235,439.6246577,0.339680406
605.5232752,0.141054361,563.4475389,0.258661888,446.8376411,0.336320191
612.7362586,0.126493429,570.6605223,0.236633811,454.0506245,0.33109319
621.512055,0.112156511,577.2724237,0.218339307,461.2636078,0.324746117
665.7516864,0.116636798,584.1848661,0.20041816,468.4765912,0.32026583
672.8444533,0.126493429,675.2487811,0.10745221,475.6895746,0.316905615
680.0574367,0.143667861,682.4617645,0.11827957,482.9025579,0.322132616
687.2704201,0.163829152,689.6747479,0.133587216,490.1155413,0.332586619
693.8823215,0.191009558,696.8877312,0.154121864,497.3285247,0.347520908
699.0916984,0.215352449,703.4996327,0.174880526,504.541508,0.371042413
703.4996327,0.241487455,708.9093702,0.198178017,511.7544914,0.384109916
707.1061244,0.270609319,713.7180258,2.22E-01,518.9674748,0.383363202
710.712616,0.295997611,717.9255994,0.249701314,526.1804582,0.371415771
714.3191077,0.328853047,722.133173,0.279383214,533.3934415,0.352374552
717.3245175,0.357228196,726.3407467,0.308691756,540.6064249,0.334453405
719.7288453,0.38635006,729.9472384,0.341547192,547.8194083,0.313172043
722.133173,0.41323178,732.9526481,0.369548984,555.0323916,0.292264038
724.5375008,0.442353644,735.9580578,0.401284349,562.245375,0.274716249
726.9418286,0.472595579,738.9634676,0.43339307,569.4583584,0.253434886
729.3461564,0.508437873,741.3677954,0.459154719,576.6713417,0.231780167
731.7504842,0.539799881,743.7721232,0.487156511,583.8843251,0.210498805
734.154812,0.576762246,746.1764509,0.517398447,591.0973085,0.188097372
736.5591398,0.618204898,748.5807787,0.544280167,598.3102919,0.168309438
738.9634676,0.658527479,750.9851065,0.576762246,605.5232752,0.153001792
740.7667134,0.686529271,753.3894343,0.607004182,612.7362586,0.137320789
742.5699593,0.71901135,755.7937621,0.641726404,619.949242,0.123879928
744.9742871,0.761574074,758.1980899,0.676448626,627.1622253,0.113799283
747.3786148,0.80525687,760.6024177,0.707810633,634.3752087,0.105958781
749.7829426,0.848939665,763.0067455,0.741412784,641.5881921,0.101851852
751.5861885,0.879181601,765.4110733,0.772774791,648.8011754,0.101851852
752.7883524,0.903823178,767.8154011,0.808617085,656.0141588,0.102598566
754.5915982,0.9385454,770.2197288,0.839979092,663.2271422,0.105585424
756.995926,0.978867981,772.6240566,0.870221027,670.4401256,0.113799283
759.4002538,1.025910992,775.0283844,0.902703106,677.6531089,0.126120072
761.8045816,1.068473716,777.4327122,0.936305257,684.8660923,0.142921147
764.2089094,1.112156511,779.83704,0.966547192,692.0790757,0.163455795
766.6132372,1.150238949,782.2413678,0.994548984,698.6909771,0.188769415
769.017565,1.192801673,784.6456956,1.022550777,704.1007146,0.214979092
771.4218927,1.235364397,787.0500234,1.053912784,708.3082883,0.239247312
773.8262205,1.270086619,790.0554331,1.086021505,711.9147799,0.265382318
775.6294664,1.302568698,793.0608429,1.116636798,715.5212716,0.291517324
778.6348761,1.335050777,796.0662526,1.147252091,719.1277633,0.321385902
781.6402858,1.374253286,799.6727443,1.18234767,722.734255,0.354241338
784.6456956,1.408975508,803.279236,1.209229391,725.7396647,0.387470131
789.54022,1.44401775,806.8857276,1.239844683,728.7450745,0.418458781
793.8622854,1.476926523,811.6943832,1.262694146,731.7504842,0.453554361
799.0716623,1.503434886,818.3062846,1.293184986,734.154812,0.480436081
805.8037801,1.505077658,825.7196287,1.312176424,736.5591398,0.514038232
812.2954652,1.49354092,832.5819809,1.318249701,738.9634676,0.543160096
817.184265,1.462714058,840.2184538,1.302772347,741.3677954,0.575642174
821.3116944,1.433243728,847.244087,1.280501508,743.7721232,0.610364397
824.9181861,1.398334827,852.1672344,1.259259259,746.1764509,0.647326762
827.7232352,1.370519713,857.8574768,1.226851852,748.5807787,0.684289128
830.3279236,1.351851852,860.9831029,1.201762246,750.9851065,0.71901135
835.1365792,1.283527479,864.1888733,1.176373955,753.3894343,0.753733572
837.540907,1.258885902,867.8955453,1.145758662,755.7937621,0.790695938
839.9452348,1.229764038,869.9993321,1.1244773,758.1980899,0.827658303
842.3495625,1.193921744,873.6058238,1.092368578,760.6024177,0.862380526
844.7538903,1.161439665,877.8133974,1.059886499,763.0067455,0.897102748
847.1582181,1.123357228,880.2177252,1.030764636,765.4110733,0.934065114
849.5625459,1.096475508,883.8242169,0.996415771,767.8154011,0.966547192
851.9668737,1.060633214,887.4307086,0.95609319,770.2197288,1.000149343
853.7701195,1.040471924,890.4361183,0.926224612,772.6240566,1.030391278
855.5733654,1.009109916,893.4415281,0.888142174,775.0283844,1.063993429
857.9776932,0.977747909,896.4469378,0.856780167,778.0337942,1.098715651
860.382021,0.944145759,898.8512656,0.834378734,781.0392039,1.132317802
862.7863488,0.908303465,901.2555934,0.807497013,783.4435317,1.156959379
865.1906766,0.875821386,903.6599212,0.780615293,786.4489414,1.188321386
867.5950043,0.844459379,906.6653309,0.752240143,790.0554331,1.215203106
886.2285447,0.608124253,909.6707407,0.723491637,793.6619248,1.240591398
889.8350364,0.573775388,912.6761504,0.693996416,799.0716623,1.266353047
892.8404461,0.546520311,915.6815601,0.663007766,806.2846457,1.285020908
895.8458559,0.518518519,918.6869699,0.63276583,813.4976291,1.280913978
898.8512656,0.49275687,921.6923796,0.60588411,820.7106124,1.258512545
901.8566753,0.464755078,924.6977894,0.579002389,826.12035,1.231630824
905.463167,0.437126643,928.304281,0.547640382,829.7268416,1.204749104
909.6707407,0.40651135,931.9107727,0.519265233,833.3333333,1.17562724
913.8783143,0.375149343,935.5172644,0.489396655,836.3387431,1.15135902
917.484806,0.352001195,939.1237561,0.464008363,839.3441528,1.121117085
921.6923796,0.326426225,943.3313297,0.434513142,842.1492019,1.094982079
926.5010352,0.297864397,948.1399853,0.404831243,844.7538903,1.072954002
931.9107727,0.273894863,953.5497228,0.37962963,847.7593001,1.041218638
937.3205103,0.248581243,957.7572965,0.348267622,850.7647098,1.010229988
943.3313297,0.223566308,962.6518209,0.321065882,853.1690376,0.984468339
950.5443131,0.200791517,967.2243371,0.300664576,856.1744473,0.953106332
957.1562145,0.17667264,659.0062112,0.098765432,859.1798571,0.921744325
963.7681159,0.157108722,666.4596273,0.101851852,860.9831029,0.893369176
967.9756896,0.144414576,641.6149068,0.098765432,863.9885127,0.867980884
422.9813665,0.348765432,622.5672878,0.114197531,866.3928404,0.836618877
440.3726708,0.336419753,605.1759834,0.145061728,869.3982502,0.808990442
470.1863354,0.314814815,594.4099379,0.169753086,870.6004141,0.786589008
483.436853,0.320987654,612.6293996,0.132716049,874.2069058,0.752986858
494.2028986,0.339506173,630.8488613,0.104938272,877.2123155,0.723491637
500,0.358024691,649.068323,0.098765432,879.6166433,0.696609916
514.9068323,0.388888889,546.3768116,0.311728395,882.0209711,0.667488053
526.5010352,0.37037037,535.610766,0.345679012,884.4252989,0.640606332
539.7515528,0.336419753,519.8757764,0.382716049,886.8296267,0.617084827
551.3457557,0.296296296,509.9378882,0.382716049,889.8350364,0.588709677
562.9399586,0.259259259,503.3126294,0.364197531,893.4415281,0.55734767
635.8178054,0.101851852,495.0310559,0.339506173,897.0480198,0.525238949
647.4120083,0.101851852,485.9213251,0.320987654,900.6545115,0.493876941
657.3498965,0.104938272,475.9834369,0.314814815,904.2610031,0.462514934
875.9834369,0.737654321,426.2939959,0.345679012,907.8674948,0.436379928
880.952381,0.682098765,407.2463768,0.364197531,911.4739865,0.410244922
454.4513458,0.327160494,,,915.6815601,0.382989845
402.2774327,0.364197531,,,920.4902157,0.352747909
,,,,925.2988713,0.32698626
,,,,930.7086088,0.298984468
,,,,937.3205103,0.270982676
,,,,944.5334936,0.239994026
,,,,951.746477,0.21385902
,,,,958.9594604,0.190710872
,,,,962.9952963,0.172256358
,,,,967.9756896,0.164575866
