Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Initial Bare GNRs,Initial Bare GNRs,Post-SiO2 Overcoat,Post-SiO2 Overcoat,Post Purification,Post Purification
488.9924185,0.33713414,407.2569192,0.360395849,403.6509413,0.371450181
549.0920504,0.299492101,414.4688751,0.355635092,410.8628972,0.366689424
556.3040062,0.277777708,421.6808309,0.348508712,418.4354508,0.360823235
563.515962,0.255669043,428.8927867,0.34059379,425.2868088,0.354802288
570.7279178,0.236320273,435.9845433,0.334729568,432.4987646,0.347281637
577.9398737,0.216182962,442.715702,0.32807828,439.7107204,0.340155257
585.1518295,0.192102945,452.3316431,0.319995814,446.9226763,0.334605959
592.3637853,0.171571363,511.2292823,0.393089163,454.1346321,0.327873849
599.5757411,0.154982488,517.8402418,0.395427737,461.3465879,0.322324552
606.7876969,0.139970695,525.0521976,0.39027271,468.5585437,0.318746607
613.9996528,0.126930255,532.2641535,0.377626541,475.7704995,0.317534286
621.2116086,0.11664971,539.4761093,0.362220477,482.9824554,0.321053213
628.4235644,0.109523329,546.6880651,0.341688896,490.1944112,0.332457553
692.7301705,0.187010378,553.9000209,0.316031796,497.406367,0.352535846
698.1391373,0.213719795,561.1119767,0.295894484,504.6183228,0.371431328
702.9471079,0.240904797,568.3239326,0.277334256,511.8302786,0.384018479
707.1540821,0.27006361,575.5358884,2.56E-01,519.0422345,0.383200429
710.76006,0.298436341,582.7478442,0.237453904,526.2541903,0.372919884
713.7650416,0.32602299,589.9598,0.219287946,533.4661461,0.358302362
716.7700232,0.355975263,597.1717558,0.196785011,540.6781019,0.338165051
719.7750048,0.387504619,604.3837117,0.177830512,547.8900577,0.312902221
722.1789901,0.414699456,611.5956675,0.164395801,555.1020136,0.292370639
724.5829753,0.444259918,618.8076233,0.152143903,562.3139694,0.271839058
726.9869606,0.476186003,626.0195791,0.141863358,569.5259252,0.251307476
729.3909459,0.508112088,633.2315349,0.133554165,576.737881,0.231170165
731.7949312,0.542403797,640.4434908,0.128004868,583.9498368,0.208272959
734.1989164,0.579061129,647.6554466,0.123244111,591.1617927,0.186164295
736.6029017,0.619266898,654.8674024,0.122820332,598.3737485,0.166815525
739.006887,0.658289854,661.959159,0.124683814,605.5857043,0.151803732
741.4108722,0.697312811,668.0893214,0.129863104,612.7976601,0.13758048
743.8148575,0.739884203,692.1291741,0.164460557,620.0096159,0.127299935
746.2188428,0.784821219,699.34113,0.18414458,627.2215718,0.118596472
748.6228281,0.828575423,705.9520895,0.210612517,634.4335276,0.113047174
751.0268133,0.869964004,711.9620526,0.237082913,641.6454834,0.110257771
753.4307986,0.917266644,717.3710195,0.265684829,648.8574392,0.109833992
755.2337876,0.948012376,722.1789901,0.296418266,656.069395,0.111381565
757.0367765,0.983489356,726.3859643,0.327548433,663.2813509,0.116477575
759.4407618,1.026060748,729.9919422,0.357498246,670.4933067,0.124727749
761.8447471,1.069814952,733.5979201,0.386659519,677.7052625,0.138891983
764.2487323,1.113569156,737.203898,0.420552039,684.9172183,0.156210382
766.6527176,1.147860865,740.2088796,0.451292853,692.1291741,0.175500135
769.0567029,1.193980693,743.2138612,0.484399291,698.1391373,0.20130027
771.4606882,1.23300365,746.2188428,0.516322917,703.5481042,0.229547343
773.8646734,1.266112547,748.6228281,0.542334943,708.3560747,0.253499325
775.6676624,1.301195256,751.0268133,0.570712592,712.563049,0.284629492
778.672644,1.333513153,753.4307986,0.602638677,716.7700232,0.314182576
781.0766293,1.370170485,755.8347839,0.631016327,720.3760011,0.35044072
783.4806145,1.394999699,758.2387692,0.659393976,723.3809827,0.375661745
786.7860943,1.422190848,760.6427544,0.687771626,726.3859643,0.407979642
791.4938988,1.458838754,763.0467397,0.719697711,729.3909459,0.435960562
796.7025335,1.493118987,765.450725,0.750440984,731.7949312,0.467886647
804.3952864,1.50089407,767.8547103,0.782367069,734.1989164,0.497447108
810.825947,1.491582684,770.2586955,0.810744718,736.6029017,0.527007569
817.1364084,1.454002586,772.6626808,0.84030518,739.006887,0.554202407
821.9443789,1.427961052,775.6676624,0.874594429,741.4108722,0.589676928
824.3483642,1.398380918,778.672644,0.911249303,743.8148575,0.622785825
827.9543421,1.37116149,781.6776256,0.945538553,746.2188428,0.657077534
830.3583274,1.34394698,784.6826072,0.973913743,748.6228281,0.692552054
833.363309,1.307267515,787.0865924,1.004657017,751.0268133,0.726843763
835.7672942,1.290698313,790.091574,1.033032207,753.4307986,0.764683908
838.1712795,1.242587459,793.6975519,1.066924727,755.8347839,0.802524053
841.1762611,1.205513724,796.7025335,1.093328564,758.2387692,0.839181385
843.5802464,1.177116402,800.3085114,1.125841137,760.6427544,0.87110747
845.9842316,1.138073773,804.5154857,1.155197086,763.0467397,0.910130427
848.9892132,1.099817226,808.7224599,1.185538711,765.450725,0.943239324
851.9941948,1.061166408,813.5304304,1.210949495,767.8547103,0.975165409
853.7971838,1.037502793,819.5403936,1.241086607,770.2586955,1.01063993
855.6001727,1.006742307,829.1563347,1.267069124,772.6626808,1.044931639
858.004158,0.975979361,836.6258604,1.268728293,775.0666661,1.075674912
860.4081433,0.944033603,843.5802464,1.265433024,778.0716477,1.111146974
862.2111322,0.9215528,850.7922022,1.249238419,781.0766293,1.147801847
864.6151175,0.883692983,857.4031617,1.222006696,784.0816108,1.178148391
878.4380328,0.69438652,862.8121286,1.192808537,788.6892493,1.212825354
882.0440107,0.657704596,868.2210954,1.16439892,791.894563,1.241791131
886.250985,0.61234626,872.4280696,1.132051514,797.3035299,1.269565079
889.2559666,0.583157937,876.6350439,1.105223898,803.9144894,1.299502597
892.2609481,0.553181074,880.2410218,1.076033116,811.5771924,1.299964082
895.8669261,0.518470504,883.8469997,1.046842335,817.9091179,1.289081651
899.472904,0.48770264,886.8519813,1.011937089,822.0486788,1.271047421
903.0788819,0.455357693,891.0589555,0.975844112,825.9109546,1.248630538
906.6848598,0.426166912,894.6649334,0.939556459,829.757331,1.224485437
910.2908377,0.401707378,897.669915,0.916676467,833.363309,1.194506114
913.8968156,0.373305138,900.0739003,0.887096333,836.6687887,1.162950938
918.7047862,0.345686521,903.0788819,0.858302282,839.072774,1.138693458
922.9117604,0.318661769,906.6848598,0.825168794,842.97925,1.106938688
928.3207273,0.289660746,910.2908377,0.793612389,846.3848958,1.071834667
934.3306904,0.262668044,913.8968156,0.752593488,850.1912059,1.033377706
940.9416499,0.235199758,917.5027935,0.720248542,852.5951911,1.003206166
948.1536058,0.209148387,921.1087714,0.687903596,856.201169,0.967707055
955.3655616,0.185856911,924.113753,0.661080897,859.2061506,0.933393214
962.5775174,0.1657196,927.1187346,0.633469657,861.6101359,0.907361516
967.9864843,0.151503725,930.7247125,0.607433041,864.0141212,0.876007164
417.2557173,0.357540721,934.3306904,0.579030801,867.6200991,0.83920696
438.045738,0.341089043,938.5376647,0.546289125,870.0240844,0.812702137
454.6777547,0.324654379,943.3456352,0.511967907,872.4280696,0.780756379
469.6465696,0.314773164,948.1536058,0.480012313,874.8320549,0.751176245
479.6257796,0.318005655,952.9615763,0.449830937,877.8370365,0.720883965
497.0893971,0.357214069,957.7695468,0.42556362,880.8420181,0.688462624
504.5738046,0.373550058,963.5219402,0.397659517,883.2460034,0.662430926
512.0582121,0.386612724,966.6127784,0.37872188,886.250985,0.632059791
520.3742204,0.383305375,502.9106029,0.37028354,889.2559666,0.60326574
527.8586279,0.370181462,494.5945946,0.344130987,892.2609481,0.571317523
537.006237,0.350504098,484.6153846,0.321258562,895.8669261,0.538184035
542.8274428,0.327567023,471.3097713,0.314766359,899.472904,0.50662763
638.4615385,0.107863119,461.3305613,0.318080513,903.6798782,0.473097413
650.1039501,0.107815483,477.962578,0.316375799,908.4878487,0.435227759
663.4095634,0.114307686,680.8731809,0.143696132,913.2958193,0.402680759
673.3887734,0.127360144,,,918.1037898,0.373682195
682.5363825,0.146962649,,,922.9117604,0.346457849
689.1891892,0.166575363,,,927.7197309,0.315685067
867.983368,0.836874896,,,933.1286978,0.289641073
871.3097713,0.794308094,,,939.138661,0.264067746
876.2993763,0.735367874,,,945.7496205,0.23793998
403.950104,0.370688453,,,952.9615763,0.216225586
426.4033264,0.347683325,,,959.9159623,0.192540893
,,,,966.7844916,0.17437634
,,,,800.6237006,1.28559568
