Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Initial Bare GNRs,Initial Bare GNRs,Post-SiO2 Overcoat,Post-SiO2 Overcoat,Post Purification,Post Purification
503.4953696,0.409332577,404.5284829,0.406810827,404.5236184,0.394990123
510.3545882,0.421389694,411.7407336,0.400112428,411.7361934,0.389079771
517.5692712,0.420601648,418.9524978,0.392231959,418.948444,0.382381373
524.7799003,0.409963014,423.7599082,0.385927584,426.1603704,0.374894927
531.9882594,0.393808053,430.3712326,0.380017232,433.3729454,0.368984575
539.1951592,0.37410688,518.4153352,0.431082671,439.9854048,0.365832388
546.4025453,0.355587778,526.3485353,0.423044593,449.0017316,0.359922036
553.6063642,0.32840016,533.1961116,0.406810827,456.2157659,0.357557895
560.8103453,0.301606565,540.4022005,0.385139537,463.4293138,0.354011684
567.4158971,0.281668978,547.6084517,0.36386227,470.6435102,0.352041567
574.0184006,0.254323751,554.8138921,0.340614887,477.8594904,0.354405708
581.2240031,0.23147039,561.4175954,0.316185433,484.9573931,0.362049763
588.4279841,0.204676796,568.0214609,0.292150002,492.2993959,0.378441138
595.6337488,0.182217459,575.2260905,0.266932501,499.5255914,0.405628756
604.0428255,0.161728239,582.4310445,0.242503047,506.749679,0.42769407
611.2508603,0.144785231,589.6374578,0.221619804,513.969875,0.44030282
618.4603544,0.131388434,596.8425739,1.98E-01,521.1843958,0.43912075
625.6711457,0.121143824,604.0486629,0.175913084,528.3953493,0.429270163
632.8825856,0.112475308,611.258157,0.162516286,535.604357,0.414691296
637.6917797,0.110505191,618.4681376,0.150301559,542.8123917,0.397748287
700.6094446,0.175755474,625.677956,0.137692809,550.0184807,0.376076997
706.8733473,0.20223385,632.8893959,0.129024293,557.2250562,0.355587778
712.8979172,0.231549195,640.1013223,0.121537847,564.4287129,0.328006136
718.3213825,0.261219161,647.314708,0.117597613,571.5121844,0.300582104
722.5427033,0.291755979,654.5285802,0.114839449,578.8363507,0.2736309
725.5585231,0.315003362,661.744236,0.116415542,586.0408182,0.248019375
728.5779102,0.346919262,668.9603783,0.119173707,593.2465829,0.225560039
732.1987101,0.379229185,676.1776556,0.124690035,600.4521854,0.202706678
735.2193944,0.414297272,683.3962301,0.133358551,607.6590852,0.183005506
737.636558,0.443849031,690.6162639,0.145573278,614.8680928,0.168426638
740.0546946,0.475764931,697.8377571,0.161334216,622.0788842,0.158182028
742.4733175,0.508862901,705.0598989,0.178671248,629.2899998,0.148725465
744.8938863,0.546689152,712.2847973,0.202706678,636.5022505,0.142027067
747.3129957,0.580969193,719.5121278,0.232652461,643.7159605,0.138874879
749.7350238,0.622341655,725.5363897,0.261219161,650.9309677,0.138874879
752.1570519,0.663714118,730.3585557,0.29077092,658.1474343,0.14242109
753.9744243,0.696812088,734.5787415,0.318549573,665.3650359,0.148725465
755.7937425,0.734638339,738.1995413,0.350859496,672.5839347,0.158182028
757.6101419,0.765372168,741.8193683,0.380805279,679.8036442,0.169608708
758.8243179,0.793741857,744.8379447,0.410751061,687.0261103,0.187733787
760.6431496,0.830386038,747.2531625,0.435574539,694.2508465,0.211375194
763.0671235,0.876486782,749.6698397,0.463944227,701.4775285,0.239744883
764.8864417,0.914313033,752.0874898,0.494678057,707.5015471,0.267720548
766.7057598,0.952139285,754.5041669,0.523047745,712.3229835,0.295499201
769.1297338,0.998240029,756.9227899,0.556145715,716.5431692,0.323277855
771.5546806,1.046704913,759.3433587,0.593971967,720.1636448,0.354799731
773.3749716,1.086895305,761.763441,0.630616148,723.7828232,0.38316942
774.5891476,1.115264994,764.1830369,0.666078258,727.4052445,0.419419577
776.6088826,1.153091245,766.6040921,0.70508658,730.4244695,0.450941453
778.833899,1.2027382,769.0275795,0.750005254,732.8421196,0.481675283
780.6502985,1.23347203,771.4505805,0.793741857,735.2578239,0.50768083
790.9532821,1.43205985,773.8730951,0.83629639,737.6769333,0.541960871
793.9721827,1.462793679,776.2951232,0.877668852,740.0950698,0.57387677
796.8784219,1.511967806,778.112982,0.911948893,742.5156386,0.611703022
800.0251856,1.561201036,779.9313273,0.947411003,744.9357209,0.648347203
797.6079004,1.53135376,782.3557876,0.994693818,747.3562896,0.686173454
804.8533917,1.605430169,784.1721871,1.025427647,749.7778313,0.726363847
809.5480541,1.649823477,785.9919917,1.064435969,752.2008323,0.77010045
813.8145645,1.674215405,788.4154792,1.109354642,754.6233469,0.812654983
819.9191946,1.689357164,790.2323651,1.141270542,757.0448885,0.852845375
826.5336539,1.691064599,792.0511968,1.177914723,759.468376,0.897764048
831.4896754,1.669261968,794.4741978,1.221651326,761.8918634,0.942682722
835.2324269,1.644018199,796.8971988,1.265387929,764.3138916,0.984055184
838.5250469,1.609370403,799.3197134,1.307942462,766.7364061,1.026609717
842.5206285,1.578373891,801.7388228,1.342222502,769.1598936,1.071528391
846.4031532,1.550942354,802.9529988,1.370592191,771.5814352,1.111718783
848.9091053,1.517956962,805.3721082,1.404872231,774.6022817,1.147180894
852.9060921,1.49037532,807.791704,1.440334342,776.1221907,1.187962321
854.9952272,1.453337116,810.8120641,1.474614382,779.045342,1.229531795
858.5898399,1.422012252,818.665292,1.56445173,781.2607916,1.255931366
860.0812106,1.393445551,823.4889174,1.597549699,783.5617913,1.295412516
862.4724302,1.359953558,829.3114922,1.623029883,786.1014427,1.330401799
864.8662443,1.33276594,836.733132,1.638134115,787.9158963,1.356407347
867.6545683,1.290211407,843.6410279,1.622373177,790.333741,1.387614004
870.2492857,1.264205859,847.6249733,1.597887434,793.6538021,1.419648111
872.0411195,1.235245135,853.5383133,1.5656338,796.3705694,1.446717522
874.4303124,1.196827849,857.1324396,1.533126865,800.8910643,1.47372783
878.0207903,1.155455386,861.3297622,1.505348212,804.8110166,1.502458706
881.0100176,1.114082924,863.1225689,1.478751629,811.3098654,1.515440466
883.4018858,1.082167024,866.7166952,1.446244694,818.4439038,1.513491363
885.7922948,1.046704913,869.7080305,1.409994536,823.9265266,1.492109024
888.1831902,1.012424873,873.2999677,1.372168285,827.6424326,1.463319043
890.5760314,0.982873114,875.690701,1.337494221,831.8410795,1.438758248
892.9678997,0.950957214,878.0830557,1.306760392,836.2795996,1.412673896
895.3607408,0.921405455,880.4721674,1.268146093,840.6625025,1.37667141
897.7526091,0.889489556,883.4675564,1.241746522,843.2267358,1.346162737
900.1449639,0.858755726,885.8594247,1.209830622,845.8199938,1.316610978
902.5382915,0.830386038,888.2527523,1.181460934,849.2153409,1.28808368
904.932592,0.80438049,890.6426748,1.144816753,851.6063823,1.254158261
907.9253866,0.771676544,893.0360025,1.116447064,854.5984472,1.219681209
911.5166753,0.732274198,895.4288437,1.086895305,858.1894926,1.179687828
914.5093077,0.699176228,897.8221713,1.058525617,859.9816507,1.151515152
917.5035617,0.670018493,900.214526,1.027791788,862.3759513,1.125509604
921.6968306,0.632389253,902.6078537,0.999422099,865.1671939,1.090047493
925.2929027,0.6046106,904.9992355,0.966324129,868.358946,1.053797335
928.8855696,0.568557454,907.3930496,0.939136511,869.5500968,1.026215694
933.0819193,0.53841466,909.7858908,0.909584752,872.5433778,0.994693818
937.2782691,0.508271866,912.7788475,0.877274829,874.9352461,0.962777918
942.0748966,0.475764931,916.3698119,0.837084437,877.928365,0.930862018
946.8705512,0.440893855,919.9607762,0.796894044,880.3187739,0.895399908
952.2705696,0.41358803,923.5520649,0.757491699,883.3123793,0.864666078
958.2708171,0.383799857,927.1436778,0.718877401,885.704734,0.833932249
964.8737746,0.357557895,930.7375609,0.685779431,888.0985481,0.806744631
969.0737727,0.336280629,934.3320925,0.654257555,890.4913893,0.777192872
408.8057853,0.398058252,937.9250027,0.618795444,892.8842305,0.747641113
422.7922277,0.385113269,942.1223253,0.591016791,895.278531,0.721635565
435.1312478,0.368932039,944.515653,0.562647102,897.6723451,0.694447947
446.6498861,0.359223301,949.3121183,0.529746144,900.666599,0.665290211
457.3481428,0.355987055,954.1083404,0.49625415,904.2591849,0.629040054
468.8694448,0.352750809,959.8044926,0.458033876,907.8537165,0.597518178
477.0998975,0.352750809,965.3334686,0.431015124,911.4475996,0.564420208
486.156059,0.359223301,968.3040487,0.413903249,915.0418069,0.532110285
494.3958342,0.381877023,444.1820821,0.362459547,918.6386087,0.506104737
645.7242932,0.110032362,459.814615,0.349514563,922.8348773,0.475764931
657.2469269,0.110032362,473.8063846,0.349514563,927.6293158,0.437938679
667.9478472,0.113268608,487.8034813,0.362459547,932.4278891,0.410160026
677.0053405,0.122977346,499.3407647,0.398058252,937.8261563,0.378598748
686.8885426,0.139158576,510.8767163,0.430420712,943.8256255,0.346919262
694.302609,0.155339806,505.9331176,0.417475728,949.226179,0.320913714
