Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Initial Bare GNRs,Initial Bare GNRs,Post-SiO2 Overcoat,Post-SiO2 Overcoat,Post Purification,Post Purification
411.0430622,0.398112696,405.8755981,0.383333278,403.4721264,0.399568876
421.6984533,0.383663206,413.2061867,0.3762585,410.6825414,0.389249478
453.9450317,0.358992795,420.2964282,0.36942217,417.8929565,0.38209605
461.7563147,0.353419854,426.1867141,0.366231697,425.1033715,0.373755384
467.164126,0.351814373,434.5970847,0.359548173,432.3137866,0.368184942
475.5762768,0.349800649,442.0478469,0.353818433,443.1294091,0.360620771
482.7866919,0.354123866,451.4213864,0.34523132,450.3398242,0.355446075
490.1172805,0.365015971,461.7563147,0.336402761,457.5502392,0.348292648
497.207522,0.384140601,469.5675976,0.332808551,464.7606543,0.343513698
502.6153333,0.401530945,476.1771448,0.332187438,471.9710693,0.340317734
524.8474463,0.381255402,484.1086013,0.336547229,479.1814844,0.341079233
532.4183821,0.353442516,491.0786692,0.349815313,486.3918994,0.349359913
538.6674085,0.323023202,498.7096918,0.368898118,493.6023145,0.365159773
545.2769556,0.292918986,505.6196729,0.388854565,500.8127295,0.385312843
551.8865027,0.263606263,512.8300879,0.401488454,508.0231445,0.406653152
557.8951819,0.239361592,520.0405029,0.397896744,515.2335596,0.411767861
565.7064649,0.218433692,527.250918,3.84E-01,522.4439746,0.406988912
572.9168799,0.197033397,534.3411595,0.363882221,529.6543897,0.389150333
579.5264271,0.178484974,541.6717481,0.340027798,536.8648047,0.368937276
588.5394459,0.157789523,548.2812952,0.314909986,544.0752198,0.348328473
595.7498609,0.139159451,554.8908423,0.292483249,551.2856348,0.326532431
602.960276,0.125278336,562.1012574,0.266333997,558.4960498,0.303944896
610.170691,0.114167445,569.3116724,0.240184745,565.7064649,0.282148854
617.381106,0.106222525,576.5220875,0.220367434,572.9168799,0.255603855
623.5900746,0.104217965,583.7325025,0.197384153,580.127295,0.23301632
634.8062757,0.099422353,590.9429175,0.17677535,587.33771,0.21319901
658.2401246,0.115946221,599.3550684,0.159327518,594.5481251,0.192590207
665.4505397,0.129767349,606.5654835,0.144259164,601.7585401,0.17554312
672.0600868,0.144857366,613.7758985,0.131565287,610.170691,0.162052752
688.8843886,0.210322975,620.9863136,0.121245889,617.381106,0.151337608
694.2921998,0.237488254,628.1967286,0.113300969,624.5915211,0.142601195
698.4982753,0.267745353,635.4071437,0.106939034,631.8019361,0.135447767
702.1034828,0.296224093,642.6175587,0.104138816,639.0123512,0.130668818
705.1078224,0.322330854,649.8279737,0.104108823,646.2227662,0.130243078
708.112162,0.35556105,657.0383888,0.105661815,653.4331813,0.13179607
711.1165016,0.384042289,664.2488038,0.11117227,660.6435963,0.136515033
713.5199733,0.412526028,671.4592189,0.11945295,667.8540113,0.145191459
715.923445,0.442197006,678.6696339,0.132086839,675.0644264,0.160199826
718.3269167,0.47661694,685.880049,0.149073939,682.2748414,0.177582672
720.7303883,0.509849635,693.090464,0.168831262,689.4852565,0.200901713
723.13386,0.549018525,699.7000111,0.191757056,696.0948036,0.226914328
724.9364638,0.573943046,705.7086903,0.218326216,701.5026149,0.255266846
726.7390675,0.60836548,711.1165016,0.244541704,706.3095583,0.284927826
729.1425392,0.648721609,715.3225771,0.272424325,710.5156337,0.312810447
731.5460109,0.693826694,718.9277846,0.298528586,714.1208412,0.344455158
733.9494826,0.738931779,722.5329921,0.327007326,717.7260487,0.374516883
735.7520863,0.775728691,726.1381996,0.360235022,721.3312563,0.409327564
737.5546901,0.813712841,729.7434071,0.395045704,724.3355959,0.439787536
739.9581618,0.861192405,732.7477467,0.423131197,726.7390675,0.470645752
741.7607656,0.901551033,735.1512184,0.452802175,729.1425392,0.497942252
742.9625014,0.930039771,737.5546901,0.484847631,731.5460109,0.531174947
744.1642372,0.956154031,739.9581618,0.51333137,733.9494826,0.560845925
745.966841,0.99532542,742.3616335,0.546564065,736.3529543,0.601202054
747.7694448,1.029747854,744.7651052,0.579796759,738.7564259,0.635621988
748.9711806,1.058236591,747.1685768,0.616591172,741.1598976,0.673603639
750.1729164,1.084350851,749.5720485,0.653385584,742.9625014,0.6997154
751.3746523,1.110465111,751.9755202,0.687805518,744.7651052,0.735325072
752.5763881,1.138953848,754.3789919,0.728161647,747.1685768,0.773306723
753.778124,1.172191542,756.7824636,0.766143298,749.5720485,0.814850091
755.5807277,1.208988454,759.1859352,0.807686666,751.9755202,0.858767937
757.9841994,1.256468017,761.5894069,0.850417273,754.1787026,0.896750422
760.5879604,1.305925479,763.3920107,0.877716272,756.7824636,0.952539825
762.7911428,1.349052666,765.1946144,0.912138706,759.1859352,0.996457671
763.9928786,1.38229036,767.5980861,0.953682074,761.3891176,1.037606126
766.3963503,1.419084772,770.0015578,0.989289247,763.9928786,1.081918886
768.799822,1.463002618,771.8041616,1.017775485,766.196061,1.113569428
772.1475147,1.516075237,773.6067653,1.053385158,768.5995327,1.160257499
776.4108156,1.582090607,776.010237,1.094334906,771.0030043,1.204571092
774.2076332,1.554397528,779.0145766,1.133303424,773.6067653,1.243343402
781.217759,1.625206963,780.8171804,1.167330111,775.6497163,1.277052492
784.4223879,1.659623564,782.6197841,1.195816349,779.0145766,1.318512712
788.6284633,1.688891297,785.6241237,1.236763598,780.5167464,1.349572551
802.9291198,1.700308454,789.8301992,1.294327195,785.263603,1.403809629
808.0565261,1.67931257,787.4267275,1.264656217,782.6197841,1.366778769
811.976474,1.645149008,793.6757539,1.333015191,790.4310671,1.454839412
814.8263047,1.612165829,795.8388784,1.36850464,787.4267275,1.421371769
817.4701235,1.58746026,799.9247802,1.408022703,796.7128681,1.496452992
824.6805386,1.497200101,803.3163458,1.443467467,803.8140344,1.516930309
827.0840102,1.465530395,807.2553689,1.464029892,810.2597085,1.521796361
834.8952932,1.322633473,810.2597085,1.489345161,814.6660732,1.500407729
836.697897,1.297693955,818.6718594,1.547555236,820.1740292,1.473770876
840.3031045,1.243857456,825.7621008,1.563443539,823.8998553,1.449542737
843.3074441,1.205061817,832.7649433,1.563435996,827.8646934,1.421041741
845.1100478,1.176560582,840.3645265,1.556011362,830.0883498,1.39824102
847.5135195,1.142120652,847.4520975,1.537453915,833.0926894,1.370842876
849.3161233,1.112432178,855.3862245,1.46905705,835.4961611,1.341231052
850.5178591,1.083933443,851.8379882,1.506908678,837.8996328,1.301844293
852.9213308,1.055429708,859.2031318,1.441580054,840.9039724,1.267995483
855.3248025,1.015053584,862.8957383,1.404673939,844.3088906,1.231968403
857.7282742,0.982988132,866.440859,1.372366291,846.5521309,1.199349573
860.1317459,0.943799246,868.4237232,1.339827693,849.3161233,1.175355847
862.5352175,0.909359317,871.4298431,1.317498613,851.1187271,1.14487588
864.9386892,0.872544909,876.0160231,1.26063629,854.4235006,1.10350664
867.3421609,0.83691774,873.5306554,1.292063611,856.5265383,1.067880721
869.7456326,0.804852289,878.5183042,1.226760547,860.1317459,1.029280456
872.1491043,0.770412359,880.5612551,1.197783417,861.9343496,0.999196236
874.5525759,0.739534147,884.0462891,1.156927898,864.9386892,0.966336792
876.9560476,0.708655934,885.9690664,1.123360609,867.3421609,0.937833058
879.3595193,0.6801522,888.3725381,1.090899412,869.7456326,0.909329323
881.762991,0.655210183,891.3768777,1.055269743,872.1491043,0.872514916
884.7673306,0.621559246,893.1794815,1.022019552,875.1534439,0.838468233
887.7716702,0.586325324,896.1838211,0.993513318,878.1577835,0.803630058
890.7760098,0.553465881,898.5872928,0.965009584,881.1621231,0.766417404
894.3812173,0.519416699,900.9907644,0.937693089,884.1664627,0.732370721
897.9864248,0.486554755,903.1939468,0.902462499,886.5699343,0.701492509
901.5916324,0.456858783,905.7977078,0.875936664,889.574274,0.672194782
905.7977078,0.421817736,908.2011795,0.84624569,893.1794815,0.635771122
910.0037832,0.392712883,910.6046512,0.821303673,896.784689,0.600930447
914.8107266,0.361349777,913.6089908,0.788444229,900.3898965,0.568464251
920.2185379,0.329153105,916.0124624,0.752025568,903.995104,0.536789546
925.6263492,0.29719388,919.016802,0.727476797,907.6003116,0.506697828
931.6350284,0.267725357,921.4202737,0.698973063,911.2055191,0.482146558
937.6437076,0.240631313,924.4246133,0.672841307,914.8107266,0.45522081
944.2532547,0.216067546,926.828085,0.647503543,919.016802,0.424730845
951.4636697,0.192292772,931.0341605,0.611077384,923.8237454,0.396217113
958.6740848,0.171288222,934.0385001,0.584945628,928.6306888,0.370077859
966.1420147,0.150961024,936.4419717,0.558816371,933.4376321,0.341564127
436.4210526,0.365073999,940.0471793,0.530307638,938.8454434,0.313760238
445.6842105,0.358379893,943.4520975,0.501403991,945.4549905,0.285318157
