Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-]
Before SiO2 Overcoating,Before SiO2 Overcoating,After 5x Purification,After 5x Purification
346.0353,0.4342,346.0353,0.0631
346.2482,0.4342,346.2482,0.0631
346.4611,0.4342,346.4611,0.0631
346.674,0.0822,346.674,0
346.8868,0.3685,346.8868,-1.0953
347.0997,-0.5295,347.0997,0.4701
347.3125,-0.1295,347.3125,0.2605
347.5254,0.1829,347.5254,-0.5926
347.7382,0,347.7382,0
347.951,-0.9586,347.951,-0.6116
348.1638,0.1425,348.1638,0.8994
348.3766,0.4339,348.3766,0
348.5894,0.6737,348.5894,0
348.8022,-0.3757,348.8022,-1.0529
349.015,0.7677,349.015,0
349.2277,0,349.2277,0.0229
349.4405,0,349.4405,0
349.6532,0,349.6532,0.1876
349.866,0.2557,349.866,0.1537
350.0787,0.3472,350.0787,0.1248
350.2914,0.3284,350.2914,0.1419
350.5041,0.3195,350.5041,0.1374
350.7168,0.2497,350.7168,0.1435
350.9295,0.2861,350.9295,0.1295
351.1421,0.3113,351.1421,0.1476
351.3548,0.2725,351.3548,0.1146
351.5675,0.3196,351.5675,0.1423
351.7801,0.3228,351.7801,0.1299
351.9927,0.3149,351.9927,0.1388
352.2053,0.3028,352.2053,0.1389
352.418,0.3169,352.418,0.1574
352.6306,0.3511,352.6306,0.1414
352.8432,0.2885,352.8432,0.132
353.0557,0.2696,353.0557,0.1365
353.2683,0.3323,353.2683,0.1349
353.4809,0.3078,353.4809,0.1248
353.6934,0.2899,353.6934,0.1289
353.906,0.3024,353.906,0.1305
354.1185,0.3763,354.1185,0.1234
354.331,0.3205,354.331,0.119
354.5435,0.2675,354.5435,0.124
354.756,0.3221,354.756,0.1198
354.9685,0.3285,354.9685,0.129
355.181,0.3013,355.181,0.1349
355.3935,0.3041,355.3935,0.1364
355.6059,0.3365,355.6059,0.1282
355.8184,0.3365,355.8184,0.1273
356.0308,0.3149,356.0308,0.144
356.2433,0.3108,356.2433,0.1457
356.4557,0.3365,356.4557,0.1337
356.6681,0.2693,356.6681,0.1163
356.8805,0.3112,356.8805,0.1286
357.0929,0.338,357.0929,0.1446
357.3053,0.2863,357.3053,0.1256
357.5176,0.3065,357.5176,0.1421
357.73,0.3152,357.73,0.1187
357.9424,0.2972,357.9424,0.1305
358.1547,0.2933,358.1547,0.1421
358.367,0.2665,358.367,0.1185
358.5793,0.3475,358.5793,0.1377
358.7917,0.3321,358.7917,0.138
359.004,0.3382,359.004,0.1371
359.2162,0.3385,359.2162,0.1247
359.4285,0.3045,359.4285,0.1343
359.6408,0.3402,359.6408,0.1393
359.8531,0.3014,359.8531,0.1165
360.0653,0.3529,360.0653,0.1334
360.2776,0.2605,360.2776,0.1385
360.4898,0.3335,360.4898,0.1174
360.702,0.3185,360.702,0.127
360.9142,0.312,360.9142,0.1324
361.1264,0.3096,361.1264,0.1021
361.3386,0.2857,361.3386,0.1259
361.5508,0.2964,361.5508,0.1444
361.763,0.3087,361.763,0.1208
361.9751,0.3064,361.9751,0.126
362.1873,0.2886,362.1873,0.1284
362.3994,0.3423,362.3994,0.1227
362.6115,0.2856,362.6115,0.1344
362.8237,0.3505,362.8237,0.1415
363.0358,0.2809,363.0358,0.1424
363.2479,0.3268,363.2479,0.142
363.46,0.3509,363.46,0.1316
363.672,0.3348,363.672,0.1178
363.8841,0.3128,363.8841,0.1356
364.0962,0.3181,364.0962,0.1238
364.3082,0.3729,364.3082,0.1259
364.5202,0.3125,364.5202,0.1255
364.7323,0.2941,364.7323,0.1283
364.9443,0.3208,364.9443,0.1493
365.1563,0.3157,365.1563,0.1184
365.3683,0.3488,365.3683,0.1249
365.5803,0.3559,365.5803,0.1269
365.7923,0.3196,365.7923,0.1267
366.0042,0.3159,366.0042,0.1333
366.2162,0.3427,366.2162,0.1207
366.4281,0.3147,366.4281,0.1197
366.6401,0.3405,366.6401,0.1388
366.852,0.3169,366.852,0.1388
367.0639,0.3159,367.0639,0.1201
367.2758,0.3425,367.2758,0.1308
367.4877,0.3044,367.4877,0.1162
367.6996,0.323,367.6996,0.1207
