Wavelenth,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Overcoating,Before Overcoating,After Overcoating,After Overcoating,5x Purification,5x Purification
346.0353,0.0553,346.0353,0.2841,346.0353,1.6269
346.2482,0.0553,346.2482,0.2841,346.2482,1.6269
346.4611,0.0553,346.4611,0.2841,346.4611,1.6269
346.674,-0.0372,346.674,-0.5114,346.674,-0.0045
346.8868,0,346.8868,-0.3428,346.8868,0.0576
347.0997,0.3208,347.0997,-0.1679,347.0997,-0.1429
347.3125,-0.4817,347.3125,0.2209,347.3125,-0.2175
347.5254,-0.0522,347.5254,0,347.5254,-0.7573
347.7382,0,347.7382,-0.6229,347.7382,0
347.951,-0.1668,347.951,0.3788,347.951,0
348.1638,0,348.1638,-0.6072,348.1638,-0.0106
348.3766,0,348.3766,1.2197,348.3766,0.028
348.5894,-0.9532,348.5894,0,348.5894,-0.1271
348.8022,0,348.8022,0,348.8022,0
349.015,0,349.015,1.281,349.015,0.3386
349.2277,0.3405,349.2277,1.1668,349.2277,-0.4062
349.4405,-0.2985,349.4405,-0.0875,349.4405,0
349.6532,1.223,349.6532,-0.5125,349.6532,-0.3176
349.866,0.1837,349.866,0.2123,349.866,0.0791
350.0787,0.2091,350.0787,0.2242,350.0787,0.081
350.2914,0.1765,350.2914,0.3033,350.2914,0.0816
350.5041,0.2002,350.5041,0.2335,350.5041,0.0954
350.7168,0.1813,350.7168,0.2654,350.7168,0.095
350.9295,0.1978,350.9295,0.2477,350.9295,0.0822
351.1421,0.1828,351.1421,0.2418,351.1421,0.0726
351.3548,0.1979,351.3548,0.2385,351.3548,0.059
351.5675,0.1984,351.5675,0.2606,351.5675,0.0974
351.7801,0.1951,351.7801,0.228,351.7801,0.068
351.9927,0.2142,351.9927,0.283,351.9927,0.1039
352.2053,0.2037,352.2053,0.2332,352.2053,0.0763
352.418,0.1798,352.418,0.2504,352.418,0.0888
352.6306,0.1768,352.6306,0.2712,352.6306,0.0777
352.8432,0.2002,352.8432,0.2106,352.8432,0.0748
353.0557,0.1808,353.0557,0.2766,353.0557,0.0892
353.2683,0.1689,353.2683,0.2475,353.2683,0.0727
