Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,-0.1623,346.0353,-0.4245,346.0353,-0.7891
346.2482,-0.1623,346.2482,-0.4245,346.2482,-0.7891
346.4611,-0.1623,346.4611,-0.4245,346.4611,-0.7891
346.674,-0.2141,346.674,-1.0113,346.674,0.1164
346.8868,-0.1251,346.8868,-1.7379,346.8868,-0.161
347.0997,-1.2044,347.0997,-0.2109,347.0997,0.1544
347.3125,-0.4175,347.3125,0,347.3125,0.3367
347.5254,0,347.5254,-0.3557,347.5254,0
347.7382,0.0763,347.7382,0.9245,347.7382,0.2501
347.951,0,347.951,-0.1369,347.951,-1.6367
348.1638,0.7884,348.1638,0,348.1638,-0.2856
348.3766,0,348.3766,-0.2103,348.3766,0
348.5894,-0.7576,348.5894,0.2934,348.5894,0
348.8022,0.1121,348.8022,-0.2479,348.8022,0
349.015,-0.1563,349.015,0.2734,349.015,0
349.2277,-0.1856,349.2277,0.3085,349.2277,0
349.4405,-0.1643,349.4405,0,349.4405,0.2185
349.6532,0,349.6532,0,349.6532,1.0993
349.866,0.283,349.866,0.3612,349.866,0.1775
350.0787,0.3001,350.0787,0.3319,350.0787,0.1744
350.2914,0.3063,350.2914,0.3714,350.2914,0.1579
350.5041,0.2651,350.5041,0.3847,350.5041,0.1526
350.7168,0.3183,350.7168,0.3449,350.7168,0.1433
350.9295,0.288,350.9295,0.3343,350.9295,0.1488
351.1421,0.322,351.1421,0.3252,351.1421,0.145
351.3548,0.2452,351.3548,0.351,351.3548,0.1678
351.5675,0.274,351.5675,0.3848,351.5675,0.1652
351.7801,0.2542,351.7801,0.3107,351.7801,0.1516
351.9927,0.2686,351.9927,0.2874,351.9927,0.1552
352.2053,0.3035,352.2053,0.3762,352.2053,0.1797
352.418,0.3071,352.418,0.3242,352.418,0.1886
352.6306,0.2801,352.6306,0.3732,352.6306,0.1592
352.8432,0.3057,352.8432,0.3418,352.8432,0.1711
353.0557,0.2979,353.0557,0.3374,353.0557,0.1795
353.2683,0.2973,353.2683,0.335,353.2683,0.1928
353.4809,0.2874,353.4809,0.3251,353.4809,0.1568
353.6934,0.2667,353.6934,0.3672,353.6934,0.1647
353.906,0.3003,353.906,0.3574,353.906,0.1717
354.1185,0.2842,354.1185,0.3353,354.1185,0.1678
354.331,0.2909,354.331,0.359,354.331,0.2055
354.5435,0.2739,354.5435,0.3079,354.5435,0.1357
354.756,0.2867,354.756,0.3615,354.756,0.158
354.9685,0.2737,354.9685,0.3269,354.9685,0.1769
355.181,0.2958,355.181,0.3576,355.181,0.1641
355.3935,0.3032,355.3935,0.3118,355.3935,0.1401
355.6059,0.2524,355.6059,0.317,355.6059,0.1668
355.8184,0.2791,355.8184,0.3739,355.8184,0.1549
356.0308,0.2815,356.0308,0.3987,356.0308,0.1664
356.2433,0.2852,356.2433,0.3614,356.2433,0.1647
356.4557,0.3157,356.4557,0.3628,356.4557,0.1861
356.6681,0.2866,356.6681,0.3463,356.6681,0.1359
356.8805,0.3065,356.8805,0.3399,356.8805,0.1354
357.0929,0.2674,357.0929,0.3817,357.0929,0.1834
357.3053,0.2827,357.3053,0.3796,357.3053,0.1808
357.5176,0.2815,357.5176,0.3513,357.5176,0.137
357.73,0.2737,357.73,0.3347,357.73,0.1514
357.9424,0.2591,357.9424,0.3724,357.9424,0.1669
358.1547,0.3042,358.1547,0.3425,358.1547,0.1639
358.367,0.2976,358.367,0.3641,358.367,0.1761
358.5793,0.2767,358.5793,0.3543,358.5793,0.1687
358.7917,0.2696,358.7917,0.3342,358.7917,0.153
359.004,0.2937,359.004,0.3591,359.004,0.142
359.2162,0.2711,359.2162,0.3257,359.2162,0.1623
359.4285,0.2942,359.4285,0.3622,359.4285,0.152
359.6408,0.2659,359.6408,0.3249,359.6408,0.1563
359.8531,0.3048,359.8531,0.3472,359.8531,0.1688
360.0653,0.2629,360.0653,0.3161,360.0653,0.1565
360.2776,0.2743,360.2776,0.3632,360.2776,0.1724
360.4898,0.2745,360.4898,0.3126,360.4898,0.1406
360.702,0.3083,360.702,0.3577,360.702,0.18
360.9142,0.3316,360.9142,0.3287,360.9142,0.1735
361.1264,0.2468,361.1264,0.3377,361.1264,0.1705
361.3386,0.2628,361.3386,0.3532,361.3386,0.1708
361.5508,0.2921,361.5508,0.3365,361.5508,0.1716
361.763,0.2664,361.763,0.3503,361.763,0.1669
361.9751,0.274,361.9751,0.3142,361.9751,0.1474
362.1873,0.3116,362.1873,0.3518,362.1873,0.1533
362.3994,0.3108,362.3994,0.3639,362.3994,0.1715
362.6115,0.2745,362.6115,0.3801,362.6115,0.1742
362.8237,0.2826,362.8237,0.3461,362.8237,0.1903
363.0358,0.2393,363.0358,0.3577,363.0358,0.1731
363.2479,0.2683,363.2479,0.3478,363.2479,0.1614
363.46,0.2668,363.46,0.3277,363.46,0.1314
363.672,0.3066,363.672,0.3542,363.672,0.1863
363.8841,0.2716,363.8841,0.3766,363.8841,0.1605
364.0962,0.2641,364.0962,0.3277,364.0962,0.1523
364.3082,0.3054,364.3082,0.3862,364.3082,0.1427
364.5202,0.2916,364.5202,0.3489,364.5202,0.1446
364.7323,0.2688,364.7323,0.3482,364.7323,0.1647
364.9443,0.2699,364.9443,0.366,364.9443,0.1718
365.1563,0.2682,365.1563,0.3235,365.1563,0.1774
365.3683,0.2901,365.3683,0.3506,365.3683,0.162
365.5803,0.2807,365.5803,0.3498,365.5803,0.1565
365.7923,0.2792,365.7923,0.3856,365.7923,0.1545
366.0042,0.2846,366.0042,0.3529,366.0042,0.1718
366.2162,0.2819,366.2162,0.3511,366.2162,0.1508
366.4281,0.2959,366.4281,0.3345,366.4281,0.1597
366.6401,0.284,366.6401,0.371,366.6401,0.1508
366.852,0.2656,366.852,0.3526,366.852,0.1786
367.0639,0.2728,367.0639,0.3483,367.0639,0.1654
367.2758,0.3188,367.2758,0.3662,367.2758,0.1868
367.4877,0.301,367.4877,0.3769,367.4877,0.1662
367.6996,0.2645,367.6996,0.3653,367.6996,0.1608
367.9115,0.2941,367.9115,0.343,367.9115,0.1622
368.1234,0.301,368.1234,0.3825,368.1234,0.1656
368.3352,0.2686,368.3352,0.3537,368.3352,0.1561
368.5471,0.2934,368.5471,0.3682,368.5471,0.1563
368.7589,0.2986,368.7589,0.3676,368.7589,0.1546
368.9707,0.2851,368.9707,0.3563,368.9707,0.153
369.1825,0.2893,369.1825,0.3924,369.1825,0.1733
369.3943,0.2813,369.3943,0.3555,369.3943,0.1633
369.6061,0.2902,369.6061,0.3612,369.6061,0.1654
369.8179,0.2865,369.8179,0.3635,369.8179,0.1532
370.0297,0.2829,370.0297,0.346,370.0297,0.1324
370.2415,0.2749,370.2415,0.358,370.2415,0.1609
370.4532,0.2781,370.4532,0.3574,370.4532,0.145
370.665,0.2799,370.665,0.3444,370.665,0.172
370.8767,0.2706,370.8767,0.3796,370.8767,0.171
371.0884,0.2981,371.0884,0.3483,371.0884,0.1567
371.3001,0.2744,371.3001,0.3546,371.3001,0.1747
371.5118,0.2857,371.5118,0.3441,371.5118,0.167
371.7235,0.2661,371.7235,0.3747,371.7235,0.1562
371.9352,0.2965,371.9352,0.3781,371.9352,0.1564
372.1469,0.2974,372.1469,0.3404,372.1469,0.1557
372.3585,0.2711,372.3585,0.3376,372.3585,0.1656
372.5702,0.2945,372.5702,0.3583,372.5702,0.1526
372.7818,0.2867,372.7818,0.3608,372.7818,0.1444
372.9935,0.288,372.9935,0.3372,372.9935,0.1448
373.2051,0.2601,373.2051,0.3569,373.2051,0.1573
373.4167,0.3053,373.4167,0.3758,373.4167,0.1635
373.6283,0.2735,373.6283,0.3682,373.6283,0.1641
373.8399,0.2783,373.8399,0.3546,373.8399,0.1513
