Wavelength,Absorbance,Wavelength,Absorabnce,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Pur,4x Pur
346.0353,0,346.0353,-0.0852,346.0353,-0.1493
346.2482,0,346.2482,-0.0852,346.2482,-0.1493
346.4611,0,346.4611,-0.0852,346.4611,-0.1493
346.674,0,346.674,-0.0663,346.674,-0.2195
346.8868,0,346.8868,0.3338,346.8868,0.4075
347.0997,0.0564,347.0997,-0.171,347.0997,1.3667
347.3125,-0.2093,347.3125,0.2026,347.3125,-0.1697
347.5254,0,347.5254,0.2374,347.5254,0.8068
347.7382,0.0744,347.7382,-0.0876,347.7382,0.2644
347.951,-0.1591,347.951,0.3851,347.951,-1.0414
348.1638,0.7769,348.1638,-0.2898,348.1638,0
348.3766,0,348.3766,-2.232,348.3766,0.5676
348.5894,0,348.5894,-0.7445,348.5894,0
348.8022,-0.4318,348.8022,0,348.8022,0.1297
349.015,-0.3124,349.015,1.5245,349.015,0.0323
349.2277,0.7689,349.2277,-0.2011,349.2277,0
349.4405,-0.7807,349.4405,0,349.4405,-0.2138
349.6532,0,349.6532,0,349.6532,0
349.866,0.3837,349.866,0.3859,349.866,0.2681
350.0787,0.3255,350.0787,0.359,350.0787,0.2386
350.2914,0.3732,350.2914,0.3452,350.2914,0.2825
350.5041,0.377,350.5041,0.3334,350.5041,0.2674
350.7168,0.345,350.7168,0.3139,350.7168,0.2566
350.9295,0.3405,350.9295,0.3034,350.9295,0.2751
351.1421,0.3329,351.1421,0.3206,351.1421,0.2384
351.3548,0.344,351.3548,0.347,351.3548,0.2534
351.5675,0.4404,351.5675,0.3607,351.5675,0.2595
351.7801,0.3663,351.7801,0.3536,351.7801,0.2615
351.9927,0.3425,351.9927,0.305,351.9927,0.2843
352.2053,0.3178,352.2053,0.3913,352.2053,0.2744
352.418,0.3327,352.418,0.3267,352.418,0.2569
352.6306,0.3541,352.6306,0.3825,352.6306,0.283
352.8432,0.3546,352.8432,0.2885,352.8432,0.2634
353.0557,0.366,353.0557,0.3459,353.0557,0.2369
353.2683,0.354,353.2683,0.3846,353.2683,0.3083
353.4809,0.3963,353.4809,0.3651,353.4809,0.2491
353.6934,0.3416,353.6934,0.3103,353.6934,0.2425
353.906,0.3422,353.906,0.3391,353.906,0.2588
354.1185,0.3496,354.1185,0.3519,354.1185,0.2465
354.331,0.3724,354.331,0.324,354.331,0.2266
354.5435,0.3397,354.5435,0.3036,354.5435,0.2743
354.756,0.4434,354.756,0.3704,354.756,0.2264
354.9685,0.3481,354.9685,0.2951,354.9685,0.2923
355.181,0.3577,355.181,0.3112,355.181,0.266
355.3935,0.3705,355.3935,0.3515,355.3935,0.2572
355.6059,0.3675,355.6059,0.352,355.6059,0.2974
355.8184,0.3622,355.8184,0.3153,355.8184,0.2629
356.0308,0.3521,356.0308,0.318,356.0308,0.2827
356.2433,0.3185,356.2433,0.304,356.2433,0.2498
356.4557,0.3859,356.4557,0.3043,356.4557,0.2334
356.6681,0.339,356.6681,0.3382,356.6681,0.2286
356.8805,0.3618,356.8805,0.3749,356.8805,0.2499
357.0929,0.3803,357.0929,0.3492,357.0929,0.2544
357.3053,0.3361,357.3053,0.3577,357.3053,0.315
357.5176,0.416,357.5176,0.3532,357.5176,0.2454
357.73,0.3646,357.73,0.3735,357.73,0.253
357.9424,0.3793,357.9424,0.3899,357.9424,0.2591
358.1547,0.4271,358.1547,0.3485,358.1547,0.203
358.367,0.3592,358.367,0.3125,358.367,0.2286
358.5793,0.3714,358.5793,0.2858,358.5793,0.2399
358.7917,0.3843,358.7917,0.2976,358.7917,0.2524
359.004,0.3563,359.004,0.3247,359.004,0.2429
359.2162,0.3572,359.2162,0.3892,359.2162,0.2784
359.4285,0.3368,359.4285,0.3319,359.4285,0.2573
359.6408,0.3856,359.6408,0.2938,359.6408,0.2689
359.8531,0.4023,359.8531,0.3454,359.8531,0.2146
360.0653,0.4243,360.0653,0.3568,360.0653,0.2427
360.2776,0.3377,360.2776,0.366,360.2776,0.2104
360.4898,0.3787,360.4898,0.3375,360.4898,0.2684
360.702,0.3905,360.702,0.3145,360.702,0.2422
360.9142,0.3581,360.9142,0.3465,360.9142,0.27
361.1264,0.388,361.1264,0.3689,361.1264,0.2635
361.3386,0.3366,361.3386,0.3717,361.3386,0.2544
361.5508,0.3362,361.5508,0.3081,361.5508,0.2478
361.763,0.3227,361.763,0.3614,361.763,0.2636
361.9751,0.3675,361.9751,0.3438,361.9751,0.2387
362.1873,0.3383,362.1873,0.3341,362.1873,0.2369
362.3994,0.36,362.3994,0.3316,362.3994,0.2519
