Wavelength,Absorabnce,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,0.3068,346.0353,-1.0996,346.0353,-0.0789
346.2482,0.3068,346.2482,-1.0996,346.2482,-0.0789
346.4611,0.3068,346.4611,-1.0996,346.4611,-0.0789
346.674,1.5893,346.674,0.3206,346.674,-0.148
346.8868,0,346.8868,0,346.8868,-0.2344
347.0997,0,347.0997,-0.304,347.0997,-6.00E-04
347.3125,0.2176,347.3125,-0.1634,347.3125,0
347.5254,0.0515,347.5254,0.022,347.5254,0
347.7382,0,347.7382,0,347.7382,0
347.951,-0.2156,347.951,0,347.951,-0.4427
348.1638,0,348.1638,0.0299,348.1638,0
348.3766,0,348.3766,0,348.3766,-0.1598
348.5894,0,348.5894,0.0978,348.5894,0
348.8022,0.0369,348.8022,-1.0307,348.8022,-0.5721
349.015,0.1669,349.015,0.5001,349.015,0
349.2277,0,349.2277,-0.4745,349.2277,0.4291
349.4405,0,349.4405,0,349.4405,0.8399
349.6532,0.1973,349.6532,0.0197,349.6532,-0.0893
349.866,0.3572,349.866,0.4379,349.866,0.1858
350.0787,0.3707,350.0787,0.4437,350.0787,0.2073
350.2914,0.3772,350.2914,0.3938,350.2914,0.2459
350.5041,0.3775,350.5041,0.4061,350.5041,0.2362
350.7168,0.348,350.7168,0.3894,350.7168,0.2437
350.9295,0.336,350.9295,0.3759,350.9295,0.1903
351.1421,0.3306,351.1421,0.4277,351.1421,0.2136
351.3548,0.3834,351.3548,0.4883,351.3548,0.2369
351.5675,0.3517,351.5675,0.3766,351.5675,0.1913
351.7801,0.3949,351.7801,0.4478,351.7801,0.2135
351.9927,0.3501,351.9927,0.3828,351.9927,0.25
352.2053,0.3474,352.2053,0.3884,352.2053,0.2101
352.418,0.3567,352.418,0.491,352.418,0.2322
352.6306,0.3173,352.6306,0.4203,352.6306,0.2204
352.8432,0.3375,352.8432,0.3771,352.8432,0.2337
353.0557,0.3354,353.0557,0.3763,353.0557,0.2336
353.2683,0.3299,353.2683,0.4638,353.2683,0.2172
353.4809,0.3412,353.4809,0.3961,353.4809,0.2125
353.6934,0.3385,353.6934,0.4014,353.6934,0.2421
353.906,0.3754,353.906,0.396,353.906,0.2435
354.1185,0.3469,354.1185,0.4189,354.1185,0.1889
354.331,0.3672,354.331,0.3733,354.331,0.2099
354.5435,0.3536,354.5435,0.4137,354.5435,0.2033
354.756,0.3587,354.756,0.4508,354.756,0.2117
354.9685,0.4146,354.9685,0.4233,354.9685,0.2457
355.181,0.4061,355.181,0.4113,355.181,0.2368
355.3935,0.3926,355.3935,0.4779,355.3935,0.2174
355.6059,0.347,355.6059,0.5064,355.6059,0.1876
355.8184,0.3314,355.8184,0.453,355.8184,0.2204
356.0308,0.386,356.0308,0.4439,356.0308,0.2464
356.2433,0.3763,356.2433,0.4233,356.2433,0.2202
356.4557,0.3298,356.4557,0.4707,356.4557,0.2112
356.6681,0.3206,356.6681,0.4195,356.6681,0.1966
356.8805,0.3523,356.8805,0.4264,356.8805,0.2377
357.0929,0.3057,357.0929,0.4349,357.0929,0.2454
357.3053,0.3978,357.3053,0.4628,357.3053,0.2032
357.5176,0.3885,357.5176,0.4565,357.5176,0.2102
357.73,0.4336,357.73,0.4223,357.73,0.2168
357.9424,0.399,357.9424,0.4261,357.9424,0.2142
358.1547,0.3362,358.1547,0.3728,358.1547,0.2425
358.367,0.355,358.367,0.4292,358.367,0.2342
358.5793,0.3733,358.5793,0.5077,358.5793,0.2485
358.7917,0.3508,358.7917,0.4777,358.7917,0.2737
359.004,0.376,359.004,0.4139,359.004,0.2032
359.2162,0.3664,359.2162,0.4262,359.2162,0.2072
359.4285,0.3773,359.4285,0.463,359.4285,0.2511
359.6408,0.3692,359.6408,0.4619,359.6408,0.2411
359.8531,0.3756,359.8531,0.4215,359.8531,0.2143
360.0653,0.3303,360.0653,0.4534,360.0653,0.2213
360.2776,0.3454,360.2776,0.4003,360.2776,0.2439
360.4898,0.3385,360.4898,0.4007,360.4898,0.2119
360.702,0.3552,360.702,0.402,360.702,0.2252
360.9142,0.2683,360.9142,0.4096,360.9142,0.2342
361.1264,0.381,361.1264,0.3711,361.1264,0.2309
361.3386,0.3727,361.3386,0.4274,361.3386,0.2525
361.5508,0.328,361.5508,0.4139,361.5508,0.2374
361.763,0.3592,361.763,0.4134,361.763,0.2383
361.9751,0.3803,361.9751,0.3794,361.9751,0.2186
362.1873,0.3632,362.1873,0.4285,362.1873,0.2189
362.3994,0.3856,362.3994,0.4706,362.3994,0.2586
362.6115,0.3867,362.6115,0.4265,362.6115,0.213
362.8237,0.3423,362.8237,0.4058,362.8237,0.1887
363.0358,0.3175,363.0358,0.4767,363.0358,0.2314
363.2479,0.3462,363.2479,0.4754,363.2479,0.2191
363.46,0.3881,363.46,0.4485,363.46,0.2136
363.672,0.3628,363.672,0.3779,363.672,0.2524
363.8841,0.3782,363.8841,0.4405,363.8841,0.2328
364.0962,0.3365,364.0962,0.4075,364.0962,0.2691
364.3082,0.3453,364.3082,0.4229,364.3082,0.2382
364.5202,0.3891,364.5202,0.4083,364.5202,0.2433
364.7323,0.3912,364.7323,0.4217,364.7323,0.2532
364.9443,0.3529,364.9443,0.4214,364.9443,0.2096
365.1563,0.3769,365.1563,0.4439,365.1563,0.2281
365.3683,0.4197,365.3683,0.433,365.3683,0.2058
365.5803,0.3392,365.5803,0.4832,365.5803,0.2085
365.7923,0.3447,365.7923,0.3966,365.7923,0.2337
366.0042,0.3508,366.0042,0.4312,366.0042,0.2349
366.2162,0.3846,366.2162,0.406,366.2162,0.2368
366.4281,0.3573,366.4281,0.3866,366.4281,0.2025
366.6401,0.3481,366.6401,0.4633,366.6401,0.219
366.852,0.3873,366.852,0.4587,366.852,0.232
367.0639,0.3634,367.0639,0.4467,367.0639,0.2202
367.2758,0.3723,367.2758,0.4274,367.2758,0.2266
367.4877,0.3848,367.4877,0.4152,367.4877,0.2395
367.6996,0.3624,367.6996,0.4349,367.6996,0.2461
367.9115,0.3511,367.9115,0.4131,367.9115,0.1988
368.1234,0.3591,368.1234,0.4553,368.1234,0.2273
368.3352,0.358,368.3352,0.4444,368.3352,0.2247
368.5471,0.3369,368.5471,0.4348,368.5471,0.2265
368.7589,0.3679,368.7589,0.3715,368.7589,0.2137
368.9707,0.3869,368.9707,0.4709,368.9707,0.2338
369.1825,0.3322,369.1825,0.3958,369.1825,0.2271
369.3943,0.3598,369.3943,0.4198,369.3943,0.2276
369.6061,0.3735,369.6061,0.4206,369.6061,0.1839
369.8179,0.3602,369.8179,0.4196,369.8179,0.2138
370.0297,0.3649,370.0297,0.3789,370.0297,0.234
370.2415,0.3516,370.2415,0.4392,370.2415,0.2328
370.4532,0.3488,370.4532,0.3932,370.4532,0.2278
370.665,0.3437,370.665,0.4059,370.665,0.2024
370.8767,0.3865,370.8767,0.4274,370.8767,0.2318
371.0884,0.3421,371.0884,0.3985,371.0884,0.1947
371.3001,0.317,371.3001,0.4043,371.3001,0.1909
371.5118,0.3411,371.5118,0.4323,371.5118,0.2105
371.7235,0.3333,371.7235,0.4058,371.7235,0.2562
371.9352,0.3572,371.9352,0.428,371.9352,0.2064
372.1469,0.3522,372.1469,0.4047,372.1469,0.2025
372.3585,0.3574,372.3585,0.3978,372.3585,0.2376
372.5702,0.3729,372.5702,0.3786,372.5702,0.194
372.7818,0.3605,372.7818,0.3861,372.7818,0.228
372.9935,0.3274,372.9935,0.4077,372.9935,0.209
373.2051,0.3459,373.2051,0.3829,373.2051,0.2262
373.4167,0.3661,373.4167,0.4882,373.4167,0.2337
373.6283,0.3708,373.6283,0.4143,373.6283,0.2305
373.8399,0.3481,373.8399,0.4123,373.8399,0.2246
374.0515,0.3593,374.0515,0.4457,374.0515,0.2282
