WavelengthBeforeRxn,AbsorbanceBeforeRxn,WavelengthAfterRxn,AbsorbanceAfterRxn,WavelengthAfterPurification,AbsorbanceAfterPurification
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,3x Purification,3x Purification
346.0353,0.0106,346.0353,-8.00E-04,346.0353,0
346.2482,0.0106,346.2482,-8.00E-04,346.2482,0
346.4611,0.0106,346.4611,-8.00E-04,346.4611,0
346.674,-0.6181,346.674,0,346.674,0
346.8868,0.0093,346.8868,0,346.8868,-0.7488
347.0997,0,347.0997,0.0546,347.0997,0.0975
347.3125,0.4176,347.3125,0.4267,347.3125,0
347.5254,0.3466,347.5254,0.145,347.5254,-0.1671
347.7382,-0.2717,347.7382,-0.0032,347.7382,0
347.951,-0.0687,347.951,0.1881,347.951,0
348.1638,0,348.1638,1.2098,348.1638,0
348.3766,-0.0292,348.3766,-0.5533,348.3766,0.4221
348.5894,0,348.5894,0,348.5894,0.4547
348.8022,0,348.8022,0,348.8022,-0.1733
349.015,0.6573,349.015,0.5295,349.015,0
349.2277,0,349.2277,-0.1163,349.2277,0.0917
349.4405,1.0518,349.4405,0.3121,349.4405,0
349.6532,0.4416,349.6532,0.3989,349.6532,0
349.866,0.3757,349.866,0.3935,349.866,0.3193
350.0787,0.3643,350.0787,0.3295,350.0787,0.3055
350.2914,0.3235,350.2914,0.4519,350.2914,0.2522
350.5041,0.3989,350.5041,0.3761,350.5041,0.2561
350.7168,0.3702,350.7168,0.3687,350.7168,0.3189
350.9295,0.4252,350.9295,0.4292,350.9295,0.2901
351.1421,0.4393,351.1421,0.3239,351.1421,0.2978
351.3548,0.4398,351.3548,0.3346,351.3548,0.3342
351.5675,0.4176,351.5675,0.3518,351.5675,0.2991
351.7801,0.4086,351.7801,0.4006,351.7801,0.2709
351.9927,0.3941,351.9927,0.3839,351.9927,0.3126
352.2053,0.4253,352.2053,0.4455,352.2053,0.3033
352.418,0.4156,352.418,0.3565,352.418,0.3124
352.6306,0.4525,352.6306,0.35,352.6306,0.3371
352.8432,0.3792,352.8432,0.3773,352.8432,0.3383
353.0557,0.4589,353.0557,0.3875,353.0557,0.2883
353.2683,0.4281,353.2683,0.4344,353.2683,0.3105
353.4809,0.3772,353.4809,0.3337,353.4809,0.3188
353.6934,0.3573,353.6934,0.3696,353.6934,0.3186
353.906,0.3872,353.906,0.363,353.906,0.3239
354.1185,0.4628,354.1185,0.4008,354.1185,0.3351
354.331,0.4245,354.331,0.3972,354.331,0.3199
354.5435,0.3656,354.5435,0.3891,354.5435,0.2629
354.756,0.4515,354.756,0.3688,354.756,0.282
354.9685,0.4265,354.9685,0.3881,354.9685,0.352
355.181,0.4108,355.181,0.3753,355.181,0.273
355.3935,0.4087,355.3935,0.361,355.3935,0.3225
355.6059,0.4373,355.6059,0.4112,355.6059,0.3002
355.8184,0.3871,355.8184,0.3971,355.8184,0.2633
356.0308,0.3846,356.0308,0.3733,356.0308,0.3
356.2433,0.3639,356.2433,0.3332,356.2433,0.294
356.4557,0.4346,356.4557,0.3702,356.4557,0.3494
356.6681,0.3852,356.6681,0.3558,356.6681,0.3351
356.8805,0.3997,356.8805,0.3579,356.8805,0.3156
357.0929,0.4033,357.0929,0.3865,357.0929,0.2885
357.3053,0.4275,357.3053,0.3505,357.3053,0.3086
357.5176,0.4311,357.5176,0.4347,357.5176,0.3046
357.73,0.432,357.73,0.3858,357.73,0.3017
357.9424,0.4354,357.9424,0.3767,357.9424,0.3456
358.1547,0.3987,358.1547,0.3969,358.1547,0.3245
358.367,0.387,358.367,0.42,358.367,0.3341
358.5793,0.3896,358.5793,0.3968,358.5793,0.276
358.7917,0.4255,358.7917,0.4164,358.7917,0.3063
359.004,0.363,359.004,0.3797,359.004,0.3054
359.2162,0.4077,359.2162,0.3796,359.2162,0.3455
359.4285,0.4239,359.4285,0.3707,359.4285,0.3379
359.6408,0.3859,359.6408,0.3943,359.6408,0.3252
359.8531,0.4062,359.8531,0.3571,359.8531,0.3135
360.0653,0.3385,360.0653,0.4013,360.0653,0.3796
360.2776,0.4083,360.2776,0.3843,360.2776,0.3029
360.4898,0.3662,360.4898,0.3663,360.4898,0.353
360.702,0.4819,360.702,0.409,360.702,0.2998
360.9142,0.3899,360.9142,0.4519,360.9142,0.2947
361.1264,0.4436,361.1264,0.3077,361.1264,0.3323
361.3386,0.3799,361.3386,0.4072,361.3386,0.3007
361.5508,0.3892,361.5508,0.3387,361.5508,0.3175
361.763,0.4504,361.763,0.3946,361.763,0.3413
361.9751,0.4355,361.9751,0.3952,361.9751,0.2927
362.1873,0.4118,362.1873,0.386,362.1873,0.3125
362.3994,0.3482,362.3994,0.2991,362.3994,0.3239
362.6115,0.4476,362.6115,0.3517,362.6115,0.3585
362.8237,0.3599,362.8237,0.3848,362.8237,0.2881
363.0358,0.389,363.0358,0.3932,363.0358,0.2797
363.2479,0.4017,363.2479,0.3624,363.2479,0.2781
363.46,0.3649,363.46,0.3737,363.46,0.2938
363.672,0.3593,363.672,0.3775,363.672,0.2823
