imp,id,name,tspk1,tsfw1,lspk1,lsfw1,tspk2,tsfw2,lspk2,lsfw2,tspk3,tsfw3,lspk3,lsfw3,teosVolume,teosVolPct,quality,lobe,full,other
0,1,trial_02,514,37.36508656,794,94.41373188,,,,,519,81.19834127,799,101.7109919,125,20,2,0,0.828125,0.171875
0,2,trial_03,519,64.12980358,779,98.09964746,,,,,528,80.60183769,783,104.4734986,,20,2,0,0.8,0.2
0,3,trial_04,511,38.07959393,813,90.52020224,514,42.57674775,812,90.8934792,517,40.19494,810,96.9334212,75,20,3,0.078947368,0.697368421,0.223684211
0,4,trial_05,519,46.01433639,772,105.3492722,521,51.02835573,765,106.4246553,522,52.40175052,771,118.127834,75,20,3,0.04,0.68,0.28
0,5,trial_06,512,35.23792633,832,79.94431814,510,32.99442859,823,85.84905281,,,,,75,20,2,0,0.023255814,0.976744186
0,6,trial_07,517,42.65133522,797,91.66442886,515,42.28690023,798,91.99808682,518,45.65120044,791,97.89660973,75,20,4,0,0.864197531,0.135802469
0,7,trial_08,517,48.07638079,717,88.56860555,512,37.2619986,720,92.62323821,518,40.88157615,717,96.28475344,125,20,4,0,0.744680851,0.255319149
0,8,trial_09,522,42.95769988,772,92.60337062,514,39.51192957,786,94.78520692,,,,,125,20,4,0,1,0
0,9,trial_14,515,39.55151196,737,93.46441091,516,42.76950686,745,97.55128689,525,57.89664531,774,137.1243687,125,20,3,0,0,1
0,10,trial_16,518,50.99346347,807,93.7056817,516,52.49123933,809,94.49180203,,,,,,20,1,0,0,1
0,11,trial_18,516,45.52549231,802,94.57979945,518,50.88355708,817,89.29842935,524,60.18167333,852,57.0941911,,20,4,0.796153846,0,0.203846154
0,12,trial_19,518,48.92034331,804,95.19729469,520,56.4421776,820,85.6258543,524,58.97980039,809,97.1327515,,20,4,0.873417722,0,0.126582278
0,13,trial_21,514,51.29251361,804,94.16785052,520,54.00125496,822,82.43592825,526,65.6389046,809,91.0533227,,20,7,0.983050847,0,0.016949153
0,14,trial_27,516,35.75380518,796,101.5363501,513,36.94084591,811,94.24039612,516,38.29741813,795,101.0252051,125,20,7,0.3,0.233333333,0.466666667
0,15,trial_28,513,36.96545049,793,98.06468325,514,36.50558346,816,89.84666424,513,38.66722322,802,97.76052059,125,20,7,0.293103448,0.034482759,0.672413793
0,16,trial_29,512,32.99984366,796,97.29297976,512,36.48689924,807,92.08608441,523,44.55539941,807,90.46050712,125,20,7,0.526315789,0,0.473684211
0,17,trial_30,509,36.47685648,798,97.13137863,515,37.60233358,814,92.56694133,513,37.04678611,800,100.4215122,125,20,8,0.192307692,0.538461538,0.269230769
0,18,trial_31,517,43.73545738,803,97.8968722,515,47.96572415,831,83.67420387,523,49.10695283,807,100.5735597,125,20,8,0,0.833333333,0.166666667
0,19,trial_32,512,42.6190453,809,99.31212399,516,46.94439123,822,87.10782881,517,43.38934633,802,105.3571693,125,20,8,0,0.848484848,0.151515152
0,20,Rowe2018_F2a,511,37.07629992,808,94.51685499,516,40.49257354,845,76.25647171,515,39.74006105,815,94.47488338,50,20,7,0,1,0
0,21,Rowe2018_F2b,516,52.04192683,829,81.88207582,516,42.78982652,831,76.52585464,518,46.65461182,822,86.4967462,50,5,7,1,0,0
0,22,Rowe2018_S1c,516,35.66405907,801,99.16531275,515,42.9961895,835,82.46637872,516,39.11293176,809,97.37574006,50,10,7,0,1,0
